# Id,x_center,y_center,z_center,c,c_max,c_min,r_vir,n_vir,n_tot
85012939584,374.798000,430.306500,858.210100,1.000002,1.673163,1.000002,0.209046,19,20
85012939585,375.477000,430.377900,857.694600,2.309268,55.479812,1.000018,0.049885,4,20
85012939586,376.586200,430.526400,858.433200,2.054349,2.689974,1.427232,0.251863,19,20
85012939587,375.344900,434.096400,858.753700,4.507924,16.866907,1.148331,0.067790,8,20
85012939588,376.954200,433.754000,858.070300,2.860022,3.647768,2.054714,0.246530,19,20
85012939589,394.915100,471.080200,856.181500,3.152920,4.079139,2.210695,0.288804,19,20
85012939590,392.783300,467.886700,858.827300,8.714016,29.600839,1.000684,0.055545,3,20
85012939591,393.276600,467.660900,858.932600,4.913396,3809.269085,4.913396,0.064929,4,20
85012939592,399.336000,474.192600,851.672400,5.255967,6.783516,3.721141,0.334292,19,20
85012939593,392.230900,467.379900,857.730200,4.123838,7.613199,1.002136,0.084275,14,20
85012964915,382.351600,451.319100,824.331600,1.135124,3.462924,1.000097,0.076226,14,20
85012964916,377.332600,463.753000,831.748800,10.404521,22.841712,1.000080,0.087076,5,20
85012964917,394.461500,481.182700,822.610400,1.663461,3.047765,1.000060,0.231279,19,20
85012964918,409.011000,440.048900,830.340000,7.438351,89.071139,1.383121,0.080324,7,20
85012964919,391.258100,459.583800,838.762700,4.439411,5.903444,2.954945,0.074124,10,20
85012964920,383.026400,441.712600,835.060500,3.728054,5.345224,2.072334,0.080222,19,20
85012964921,395.388600,474.569300,838.440400,2.629212,3.388808,1.856514,0.257685,19,20
85012964922,379.742500,471.347600,840.447800,2.834743,4.069133,1.585326,0.260532,19,20
85012964923,399.412900,479.413500,844.227500,8.570389,13.713029,3.298366,0.066588,5,20
85012964924,399.838600,480.014200,843.450900,4.106321,5.319569,2.916104,0.278275,19,20
85012964925,384.365800,458.056400,847.123600,1.000030,3.065744,1.000030,0.071321,9,20
85012964926,395.547600,481.874900,846.271700,1.283994,3.627547,1.000009,0.067242,8,20
85012964931,378.907800,429.630600,852.015800,1.000000,1.612000,1.000000,0.175236,19,20
85012964933,405.365400,462.052300,844.483500,3.295148,9.181594,1.000150,0.088967,9,20
85012964935,398.531100,477.752400,848.441600,1.000007,7.880111,1.000007,0.057342,5,20
85012964936,403.477400,485.293800,842.527600,5.118899,49.668438,1.000116,0.074226,3,20
85012964938,392.428600,491.135500,835.914600,3.761862,5.565119,1.955669,0.088259,12,20
85012964939,416.177100,435.208600,844.313300,3.611682,4.793731,2.408638,0.092442,16,20
85012964940,403.216900,474.657600,851.825600,1.000021,14.220884,1.000021,0.070158,9,20
85012964941,383.918100,486.806100,852.194900,4.084968,5.045083,3.118476,0.357964,19,20
85012964942,390.911200,487.203800,849.442800,1.391858,2.008054,1.000061,0.208717,19,20
