#ID, Rs, Dc, R200, Mvir, xoff, rho_rms, niter
sample_000.dat   8.18787813e-02   4.37836992e+04   6.00477457e-01   4.84899998e+00   2.62333546e-02   4.21698004e-01           25
sample_001.dat   1.07432768e-01   2.26629844e+04   6.00848079e-01   4.84899998e+00   4.38859724e-02   3.71907681e-01           21
sample_002.dat   7.84210563e-02   4.99142656e+04   6.02447748e-01   4.84899998e+00   2.91311927e-02   4.89832908e-01           26
sample_003.dat   1.00261390e-01   2.70939180e+04   6.02422893e-01   4.84899998e+00   2.11392213e-02   4.84178901e-01           24
sample_004.dat   8.08205679e-02   4.56615977e+04   6.02689624e-01   4.84899998e+00   3.57482545e-02   2.64157861e-01           28
sample_005.dat   9.75671485e-02   2.89470957e+04   6.01432681e-01   4.84899998e+00   3.04343030e-02   2.61910021e-01           28
sample_006.dat   1.04807392e-01   2.43736914e+04   6.01612449e-01   4.84899998e+00   1.75719056e-02   2.61172086e-01           24
sample_007.dat   9.79714543e-02   2.83924336e+04   5.98735213e-01   4.84899998e+00   3.45156970e-03   1.98364958e-01           26
sample_008.dat   1.06547065e-01   2.43331328e+04   5.97969174e-01   4.84899998e+00   2.69817095e-02   3.32191050e-01           25
sample_009.dat   9.55467895e-02   3.04777188e+04   5.98350585e-01   4.84899998e+00   3.75796258e-02   1.69902712e-01           27
sample_010.dat   8.88207555e-02   3.56146445e+04   6.02239013e-01   4.84899998e+00   5.54901175e-02   3.11796308e-01           25
sample_011.dat   8.52016360e-02   4.02738242e+04   6.01938903e-01   4.84899998e+00   3.76159772e-02   3.31226230e-01           25
sample_012.dat   7.62295946e-02   5.22176211e+04   6.02172077e-01   4.84899998e+00   1.41504919e-02   3.71950179e-01           24
sample_013.dat   1.04398608e-01   2.52457383e+04   6.01710618e-01   4.84899998e+00   1.56683419e-02   2.57136315e-01           28
sample_014.dat   9.67599228e-02   2.97377715e+04   6.01283073e-01   4.84899998e+00   3.51737030e-02   1.76933914e-01           26
sample_015.dat   8.45726579e-02   4.06026289e+04   5.93178153e-01   4.84899998e+00   2.36594323e-02   3.01781237e-01           28
sample_016.dat   9.35046971e-02   3.16112871e+04   6.01728320e-01   4.84899998e+00   2.08015479e-02   3.21752071e-01           26
sample_017.dat   7.94863254e-02   4.69375977e+04   6.02672517e-01   4.84899998e+00   4.85120267e-02   2.80065894e-01           26
sample_018.dat   6.15063868e-02   8.79084297e+04   6.02350473e-01   4.84899998e+00   1.58974417e-02   6.03943110e-01           23
sample_019.dat   8.44354704e-02   4.08638633e+04   6.02090836e-01   4.84899998e+00   4.97442968e-02   2.29455858e-01           23
sample_020.dat   7.84152597e-02   4.98480703e+04   5.99373221e-01   4.84899998e+00   2.72166766e-02   3.96542966e-01           25
sample_021.dat   7.77805969e-02   4.98371719e+04   5.96841514e-01   4.84899998e+00   1.84539743e-02   2.68396974e-01           27
sample_022.dat   9.21965912e-02   3.34854258e+04   6.02200031e-01   4.84899998e+00   2.02831961e-02   4.28826183e-01           25
sample_023.dat   8.22227523e-02   4.31320391e+04   5.96414566e-01   4.84899998e+00   3.88861783e-02   1.63201526e-01           27
sample_024.dat   1.00627378e-01   2.71276074e+04   5.99382460e-01   4.84899998e+00   4.07397524e-02   3.78097087e-01           23
sample_025.dat   1.06843770e-01   2.34123867e+04   6.02625251e-01   4.84899998e+00   4.33361866e-02   2.56504864e-01           24
sample_026.dat   6.22537509e-02   8.57211172e+04   5.98882854e-01   4.84899998e+00   2.33138539e-02   6.24720633e-01           24
sample_027.dat   8.06726441e-02   4.61753008e+04   6.01777613e-01   4.84899998e+00   2.96353530e-02   3.45378488e-01           24
sample_028.dat   1.32155508e-01   1.41293271e+04   6.02665067e-01   4.84899998e+00   4.49624211e-02   1.19708747e-01           24
sample_029.dat   7.26678744e-02   5.96875156e+04   6.01116776e-01   4.84899998e+00   1.76402945e-02   3.18910360e-01           27
sample_030.dat   1.04425810e-01   2.43258379e+04   5.98430991e-01   4.84899998e+00   4.14484069e-02   2.44777188e-01           23
sample_031.dat   7.54230842e-02   5.31929219e+04   6.00830793e-01   4.84899998e+00   1.12209190e-02   2.69139737e-01           27
sample_032.dat   1.18607223e-01   1.92910879e+04   5.94161570e-01   4.84899998e+00   2.24692803e-02   4.24405932e-01           27
sample_033.dat   9.43866894e-02   3.11103652e+04   6.01598561e-01   4.84899998e+00   1.52268726e-02   3.17387313e-01           23
