haloID,c_low,c_mid,c_high,n_particles,virial_r
000,3.11166640604,3.17214026879,3.27279735666,671,0.73393860179
001,2.91020963966,2.99985538858,3.11997930231,671,0.73393860179
002,3.3790016422,3.47623582618,3.6046570156,671,0.73393860179
003,2.54938366476,2.61392212137,2.71247581885,671,0.73393860179
004,2.37132499944,2.43720368113,2.48884387438,671,0.73393860179
005,2.75953042487,2.83884229495,2.926668256,671,0.73393860179
006,3.64776431406,3.75412454594,3.86740674343,671,0.73393860179
007,2.99019462304,3.06105398512,3.18202807808,671,0.73393860179
008,2.92142557333,3.0556701458,3.22410076134,671,0.73393860179
009,3.24884711921,3.36546028721,3.44792064728,671,0.73393860179
010,2.76552584002,2.87496093849,2.9880415302,671,0.73393860179
011,3.23469325465,3.33219984899,3.40820517014,671,0.73393860179
012,2.6827868889,2.77849341579,2.87273590792,671,0.73393860179
013,3.31592823482,3.3987768551,3.49165995018,671,0.73393860179
014,3.36700308741,3.48367082212,3.56381877429,671,0.73393860179
015,3.18098943289,3.2694333366,3.36406007978,671,0.73393860179
016,2.95128453526,3.04044552486,3.14067808796,671,0.73393860179
017,2.99635021287,3.09881311171,3.18207300243,671,0.73393860179
018,3.61134907634,3.69096032686,3.80074384845,671,0.73393860179
019,2.90465615839,2.97395629783,3.05188906848,671,0.73393860179
020,3.24863688851,3.34369905219,3.40544798933,671,0.73393860179
021,4.26400395875,4.39862277997,4.53688548364,671,0.73393860179
022,2.8316068062,2.93614988205,3.01283957819,671,0.73393860179
023,3.10159622582,3.18472460898,3.24918987265,671,0.73393860179
024,3.64020156176,3.74474106201,3.85989984926,671,0.73393860179
025,3.29394108306,3.39396905195,3.5224425011,671,0.73393860179
026,2.93869520297,3.01702919118,3.09157446711,671,0.73393860179
027,2.39874618568,2.4630820374,2.5303424542,671,0.73393860179
028,3.32732128271,3.43155841268,3.54775909136,671,0.73393860179
029,3.42608917877,3.62500412884,3.82181710116,671,0.73393860179
030,3.11862518955,3.22128441843,3.31100377447,671,0.73393860179
031,2.90446585164,2.98292164169,3.05863206884,671,0.73393860179
032,2.98533462551,3.05639019209,3.12041460581,671,0.73393860179
033,3.60991821053,3.74042968377,3.8952212919,671,0.73393860179
034,2.97048525099,3.12877440923,3.20945353957,671,0.73393860179
035,3.1051069734,3.16819114024,3.22917233947,671,0.73393860179
036,2.99095346534,3.08549927088,3.19369475321,671,0.73393860179
037,2.90410655178,2.95889778791,3.00817898255,671,0.73393860179
038,3.04050882,3.1572073036,3.27900310027,671,0.73393860179
039,2.80051701826,2.86786054107,2.93970503537,671,0.73393860179
040,2.69933673255,2.80566349822,2.91976691827,671,0.73393860179
041,3.46900805508,3.55274350255,3.62792732889,671,0.73393860179
042,3.49730403341,3.56981536236,3.67657672129,671,0.73393860179
043,2.92006171261,3.043422995,3.11869051545,671,0.73393860179
044,3.34994417844,3.42886276629,3.49895991377,671,0.73393860179
045,2.60175051859,2.67279298591,2.74209194349,671,0.73393860179
046,3.16821615694,3.28594634637,3.38247050619,671,0.73393860179
047,2.7683652692,2.86441726457,2.9453136442,671,0.73393860179
048,2.6836901106,2.72645879873,2.78918277609,671,0.73393860179
049,3.79855194533,3.90363439295,4.00485734941,671,0.73393860179
050,3.14582907643,3.25075411622,3.37417981505,671,0.73393860179
051,3.32132752251,3.43350464722,3.49581288283,671,0.73393860179
052,3.30544065986,3.40233678751,3.48453017205,671,0.73393860179
053,2.68270725446,2.74923540202,2.80825395244,671,0.73393860179
054,3.09967601063,3.14494972572,3.19581495761,671,0.73393860179
055,2.86468735643,2.98814657752,3.11166997107,671,0.73393860179
056,3.05115848772,3.17398772893,3.25971820094,671,0.73393860179
057,3.38457411905,3.5254130043,3.6477329514,671,0.73393860179
058,2.66390854983,2.76245665987,2.86343671987,671,0.73393860179
059,2.1527988349,2.19427846571,2.24189181323,671,0.73393860179
060,2.7621059363,2.821888517,2.9001481294,671,0.73393860179
061,3.20011708937,3.30412532369,3.37672052527,671,0.73393860179
062,3.06831939271,3.20620404068,3.31093865112,671,0.73393860179
063,3.39597215261,3.52715130993,3.68500844655,671,0.73393860179
064,3.08945158559,3.19492953732,3.31590238105,671,0.73393860179
065,3.27016649781,3.3612572895,3.46522256431,671,0.73393860179
066,2.98464419761,3.07317133822,3.17590517579,671,0.73393860179
067,2.61069531025,2.70190178014,2.80481621589,671,0.73393860179
068,2.99373583269,3.11637152494,3.23031678041,671,0.73393860179
069,2.65506176198,2.77084741831,2.87740536667,671,0.73393860179
070,3.11617505187,3.20979408353,3.28339654874,671,0.73393860179
071,3.67130168147,3.79420976427,3.93409515366,671,0.73393860179
072,2.67800520849,2.77530981234,2.8559125019,671,0.73393860179
073,3.08760668369,3.18829276965,3.27168615923,671,0.73393860179
074,2.47201383887,2.5186039975,2.59290764161,671,0.73393860179
075,2.50178018075,2.56542472034,2.62885019126,671,0.73393860179
076,2.48705439602,2.54704276301,2.61498796426,671,0.73393860179
077,3.14819964128,3.30963563694,3.46546703266,671,0.73393860179
078,2.95318739348,3.02526373651,3.13398914128,671,0.73393860179
079,2.91273557792,2.98796953144,3.04502915041,671,0.73393860179
080,3.42026592572,3.56042073865,3.66986249933,671,0.73393860179
081,3.17387367374,3.27348152589,3.33789412285,671,0.73393860179
082,2.67552947945,2.75958917507,2.82321597205,671,0.73393860179
