haloID,c,n_particles,virial_r
000,4.8809384684,326,0.577344954
001,7.68048446374,326,0.577344954
002,5.63475580312,326,0.577344954
003,8.17764698111,326,0.577344954
004,6.28384749908,326,0.577344954
005,5.76419104919,326,0.577344954
006,7.12146371294,326,0.577344954
007,5.43271137336,326,0.577344954
008,8.33103217793,326,0.577344954
009,4.88362199254,326,0.577344954
010,6.76225123644,326,0.577344954
011,5.86545159585,326,0.577344954
012,6.31729835068,326,0.577344954
013,5.85880519976,326,0.577344954
014,5.31518310583,326,0.577344954
015,7.30582891068,326,0.577344954
016,7.14981865371,326,0.577344954
017,4.65501709844,326,0.577344954
018,5.22376848759,326,0.577344954
019,7.25805146381,326,0.577344954
020,5.57414423321,326,0.577344954
021,8.63834881165,326,0.577344954
022,6.46929021166,326,0.577344954
023,4.53072160422,326,0.577344954
024,6.92813155505,326,0.577344954
025,4.45524784916,326,0.577344954
026,5.43030744594,326,0.577344954
027,6.26819842962,326,0.577344954
028,5.86895130131,326,0.577344954
029,5.23767677305,326,0.577344954
030,7.74838873081,326,0.577344954
031,3.92160048239,326,0.577344954
032,7.12288242697,326,0.577344954
033,7.29701157456,326,0.577344954
034,4.52310010399,326,0.577344954
035,6.2554391057,326,0.577344954
036,5.15911880572,326,0.577344954
037,6.09733662541,326,0.577344954
038,5.55036330943,326,0.577344954
039,4.3125385117,326,0.577344954
040,5.85516832838,326,0.577344954
041,6.23793503459,326,0.577344954
042,6.8614013635,326,0.577344954
043,6.51211969837,326,0.577344954
044,5.14496345881,326,0.577344954
045,5.29055060108,326,0.577344954
046,6.52531222698,326,0.577344954
047,5.61140904705,326,0.577344954
048,5.73676763276,326,0.577344954
049,5.50415191293,326,0.577344954
050,5.32240846269,326,0.577344954
051,6.16850939048,326,0.577344954
052,4.7540720789,326,0.577344954
053,6.37267269837,326,0.577344954
054,4.04400772796,326,0.577344954
055,5.44221906721,326,0.577344954
056,4.6225782781,326,0.577344954
057,8.03461106487,326,0.577344954
058,5.63592028766,326,0.577344954
059,5.97565030865,326,0.577344954
060,4.74360041556,326,0.577344954
061,5.70038594259,326,0.577344954
062,5.28094957395,326,0.577344954
063,6.22753258569,326,0.577344954
064,7.24130078215,326,0.577344954
065,4.41356085434,326,0.577344954
066,8.35235602462,326,0.577344954
067,6.45782254077,326,0.577344954
068,7.57129310141,326,0.577344954
069,5.73909472441,326,0.577344954
070,6.97099179752,326,0.577344954
071,4.23461122635,326,0.577344954
072,6.8216562243,326,0.577344954
073,4.07073541517,326,0.577344954
074,5.61733572259,326,0.577344954
075,5.07367275009,326,0.577344954
076,4.74109742861,326,0.577344954
077,6.83564179019,326,0.577344954
078,7.55603558811,326,0.577344954
079,4.3783559448,326,0.577344954
080,4.37748110002,326,0.577344954
081,5.68365302137,326,0.577344954
082,4.09962206877,326,0.577344954
083,4.91852912188,326,0.577344954
084,7.21121737406,326,0.577344954
085,7.03666583982,326,0.577344954
086,6.4947478633,326,0.577344954
087,7.85103994062,326,0.577344954
088,7.15363679842,326,0.577344954
089,4.35941405334,326,0.577344954
090,7.16255841904,326,0.577344954
091,4.82624173512,326,0.577344954
092,6.09511261685,326,0.577344954
093,5.17879352284,326,0.577344954
094,5.42793491037,326,0.577344954
095,6.56015229992,326,0.577344954
096,6.1306769633,326,0.577344954
097,6.76949967233,326,0.577344954
098,5.95869865473,326,0.577344954
099,7.04960115615,326,0.577344954
100,6.77612627287,712,0.577344954
101,5.69836329341,712,0.577344954
102,6.62200960679,712,0.577344954
103,4.79758013451,712,0.577344954
104,4.916706938,712,0.577344954
105,4.19840252624,712,0.577344954
106,4.90086383002,712,0.577344954
107,3.87901877322,712,0.577344954
108,5.45134114831,712,0.577344954
109,4.58493688536,712,0.577344954
110,5.91603630204,712,0.577344954
111,5.83465849604,712,0.577344954
112,4.74647129061,712,0.577344954
113,4.21373641623,712,0.577344954
114,4.665143892,712,0.577344954
115,4.22520874391,712,0.577344954
116,5.38879920695,712,0.577344954
117,5.88415143226,712,0.577344954
118,4.69191375393,712,0.577344954
119,5.08419897355,712,0.577344954
120,6.83523542187,712,0.577344954
121,5.68372398729,712,0.577344954
122,8.02042017029,712,0.577344954
123,5.2002038728,712,0.577344954
124,5.32828864111,712,0.577344954
125,6.21642482175,712,0.577344954
126,5.21031371165,712,0.577344954
127,5.50347973892,712,0.577344954
128,5.49093747909,712,0.577344954
129,3.8584487997,712,0.577344954
130,5.33839189586,712,0.577344954
131,4.55759392534,712,0.577344954
132,5.87803687772,712,0.577344954
133,5.1453967979,712,0.577344954
134,5.40844225389,712,0.577344954
135,4.21006525019,712,0.577344954
136,4.2738423175,712,0.577344954
137,4.60984293886,712,0.577344954
138,5.36938003887,712,0.577344954
139,6.14004328804,712,0.577344954
140,6.10508228771,712,0.577344954
141,4.38517770339,712,0.577344954
142,3.75521987676,712,0.577344954
143,4.99726298573,712,0.577344954
144,5.32216805685,712,0.577344954
145,5.69022795228,712,0.577344954
146,6.09848358147,712,0.577344954
147,5.01789732173,712,0.577344954
148,5.40224554257,712,0.577344954
149,6.17533808836,712,0.577344954
150,5.07884018817,712,0.577344954
151,4.55737536631,712,0.577344954
152,4.40873921233,712,0.577344954
153,4.5856103342,712,0.577344954
154,5.60797705338,712,0.577344954
155,6.94648449565,712,0.577344954
156,4.69684102193,712,0.577344954
157,6.57797801756,712,0.577344954
158,5.84561201311,712,0.577344954
159,6.17955857072,712,0.577344954
160,4.87648146498,712,0.577344954
161,5.84928837849,712,0.577344954
162,5.99439999649,712,0.577344954
163,5.08348672434,712,0.577344954
164,6.4568889973,712,0.577344954
165,5.38252249556,712,0.577344954
166,5.93145403947,712,0.577344954
167,6.39721904994,712,0.577344954
168,4.11725421541,712,0.577344954
169,5.64840076037,712,0.577344954
170,6.07021215218,712,0.577344954
171,5.69631498156,712,0.577344954
172,5.37850977355,712,0.577344954
173,4.84354384242,712,0.577344954
174,5.59240503893,712,0.577344954
175,5.16204027969,712,0.577344954
176,6.38807796765,712,0.577344954
177,6.05093050297,712,0.577344954
178,5.77938202361,712,0.577344954
179,5.9604503912,712,0.577344954
180,4.71569117025,712,0.577344954
181,5.44741506376,712,0.577344954
182,5.43798050383,712,0.577344954
183,6.27912878416,712,0.577344954
184,4.79813543771,712,0.577344954
185,5.32982944522,712,0.577344954
186,6.05027976438,712,0.577344954
187,5.90869672791,712,0.577344954
188,5.09256673184,712,0.577344954
189,4.33159639916,712,0.577344954
190,5.02819529032,712,0.577344954
191,6.65887593771,712,0.577344954
192,6.60294536448,712,0.577344954
193,4.6038662415,712,0.577344954
194,6.3007676773,712,0.577344954
195,5.60195061697,712,0.577344954
196,5.7281588905,712,0.577344954
197,6.88714977219,712,0.577344954
198,5.6814148875,712,0.577344954
199,6.18688230786,712,0.577344954
200,4.91018604419,1524,0.577344954
201,5.64006504923,1524,0.577344954
202,4.70384642299,1524,0.577344954
203,4.79465991656,1524,0.577344954
204,4.99141788202,1524,0.577344954
205,4.05556445588,1524,0.577344954
206,4.70444483368,1524,0.577344954
207,5.74202588524,1524,0.577344954
208,5.34529567881,1524,0.577344954
209,4.46528400512,1524,0.577344954
210,5.21204894852,1524,0.577344954
211,5.20850374811,1524,0.577344954
212,5.46153513535,1524,0.577344954
213,4.53102063911,1524,0.577344954
214,5.73241043017,1524,0.577344954
215,5.20718195039,1524,0.577344954
216,4.94223059755,1524,0.577344954
217,6.02041945718,1524,0.577344954
218,5.9848070068,1524,0.577344954
219,5.21538762238,1524,0.577344954
220,5.13288389753,1524,0.577344954
221,5.08932171446,1524,0.577344954
222,5.88025058821,1524,0.577344954
223,4.96525647803,1524,0.577344954
224,6.22353067471,1524,0.577344954
225,5.5917069598,1524,0.577344954
226,5.55456535926,1524,0.577344954
227,4.87788243434,1524,0.577344954
228,5.43271577767,1524,0.577344954
229,5.30500248466,1524,0.577344954
230,6.01831860413,1524,0.577344954
231,5.51578675069,1524,0.577344954
232,5.57734677257,1524,0.577344954
233,5.00195346773,1524,0.577344954
234,5.30371176106,1524,0.577344954
235,5.21475622823,1524,0.577344954
236,5.32541532159,1524,0.577344954
237,5.6171849114,1524,0.577344954
238,4.71771453333,1524,0.577344954
239,5.0407638556,1524,0.577344954
240,4.13141535915,1524,0.577344954
241,4.73490055548,1524,0.577344954
242,5.42335085929,1524,0.577344954
243,4.96011610252,1524,0.577344954
244,5.42213729655,1524,0.577344954
245,5.19352919672,1524,0.577344954
246,4.18988779437,1524,0.577344954
247,5.56368752302,1524,0.577344954
248,5.22554720839,1524,0.577344954
249,5.1730851654,1524,0.577344954
250,4.45982881449,1524,0.577344954
251,5.97539179469,1524,0.577344954
252,5.31867762704,1524,0.577344954
253,4.25873587091,1524,0.577344954
254,5.94480268818,1524,0.577344954
255,6.45962262251,1524,0.577344954
256,5.05779253216,1524,0.577344954
257,4.47147049028,1524,0.577344954
258,4.67009538433,1524,0.577344954
259,5.50151674635,1524,0.577344954
260,4.60339158016,1524,0.577344954
261,5.79671754657,1524,0.577344954
262,5.6644822515,1524,0.577344954
263,5.03916141708,1524,0.577344954
264,4.1779470309,1524,0.577344954
265,4.83661490227,1524,0.577344954
266,5.1874016098,1524,0.577344954
267,5.79086416013,1524,0.577344954
268,6.00616960442,1524,0.577344954
269,5.35735891856,1524,0.577344954
270,4.84938781948,1524,0.577344954
271,4.74427767207,1524,0.577344954
272,4.18811481379,1524,0.577344954
273,4.92036400275,1524,0.577344954
274,4.88584554696,1524,0.577344954
275,5.51337975824,1524,0.577344954
276,5.076633996,1524,0.577344954
277,5.6009393594,1524,0.577344954
278,4.26285810787,1524,0.577344954
279,4.94590241868,1524,0.577344954
280,5.03982456135,1524,0.577344954
281,5.06966028941,1524,0.577344954
282,5.33206763906,1524,0.577344954
283,5.51716366652,1524,0.577344954
284,4.9509350469,1524,0.577344954
285,4.65030043578,1524,0.577344954
286,5.19277375348,1524,0.577344954
287,5.19021834803,1524,0.577344954
288,5.85594016988,1524,0.577344954
289,6.21263416907,1524,0.577344954
290,6.12180674682,1524,0.577344954
291,4.40774042327,1524,0.577344954
292,5.32261810245,1524,0.577344954
293,4.77518602702,1524,0.577344954
294,4.56522988038,1524,0.577344954
295,5.26593650215,1524,0.577344954
296,5.20869595266,1524,0.577344954
297,5.91399069385,1524,0.577344954
298,5.01054389038,1524,0.577344954
299,6.36618383897,1524,0.577344954
300,4.99202767339,3278,0.577344954
301,4.60125375547,3278,0.577344954
302,5.34735703789,3278,0.577344954
303,5.23029945429,3278,0.577344954
304,4.5941380461,3278,0.577344954
305,4.75662901396,3278,0.577344954
306,4.97896201747,3278,0.577344954
307,4.85330894805,3278,0.577344954
308,5.22301103191,3278,0.577344954
309,5.17029808158,3278,0.577344954
310,5.37477278381,3278,0.577344954
311,4.61064779689,3278,0.577344954
312,5.01282467747,3278,0.577344954
313,4.90157569667,3278,0.577344954
314,5.16924114427,3278,0.577344954
315,4.60224989676,3278,0.577344954
316,4.85156064937,3278,0.577344954
317,5.29318424484,3278,0.577344954
318,5.49197014194,3278,0.577344954
319,5.23585379266,3278,0.577344954
320,4.77935001054,3278,0.577344954
321,5.14045789648,3278,0.577344954
322,5.11208013296,3278,0.577344954
323,5.49364486048,3278,0.577344954
324,4.63534460265,3278,0.577344954
325,4.77802242189,3278,0.577344954
326,4.88689865641,3278,0.577344954
327,4.90057890486,3278,0.577344954
328,4.45960426462,3278,0.577344954
329,4.81149846951,3278,0.577344954
330,5.2614099131,3278,0.577344954
331,4.52037654853,3278,0.577344954
332,5.45887582035,3278,0.577344954
333,4.48050267422,3278,0.577344954
334,5.07079776104,3278,0.577344954
335,5.16264803678,3278,0.577344954
336,5.03070675615,3278,0.577344954
337,4.88581626811,3278,0.577344954
338,5.3856060039,3278,0.577344954
339,4.54418647895,3278,0.577344954
340,4.67854211934,3278,0.577344954
341,5.17305878899,3278,0.577344954
342,4.69394201766,3278,0.577344954
343,5.4756240477,3278,0.577344954
344,4.69276521815,3278,0.577344954
345,4.52499342283,3278,0.577344954
346,5.15754871422,3278,0.577344954
347,4.72044615254,3278,0.577344954
348,4.82315972571,3278,0.577344954
349,4.78828288633,3278,0.577344954
350,4.89744598805,3278,0.577344954
351,5.41123555458,3278,0.577344954
352,4.83043801623,3278,0.577344954
353,5.24261324625,3278,0.577344954
354,5.06000607938,3278,0.577344954
355,5.0791469977,3278,0.577344954
356,4.87982112531,3278,0.577344954
357,4.79705855589,3278,0.577344954
358,5.05421325347,3278,0.577344954
359,4.4898573039,3278,0.577344954
360,5.40845742897,3278,0.577344954
361,4.96356389898,3278,0.577344954
362,5.26713336526,3278,0.577344954
363,5.6239736818,3278,0.577344954
364,4.28487778666,3278,0.577344954
365,4.91817221836,3278,0.577344954
366,5.24006770784,3278,0.577344954
367,5.12924093353,3278,0.577344954
368,5.03346283777,3278,0.577344954
369,5.13811253648,3278,0.577344954
370,4.9636697583,3278,0.577344954
371,4.8377129436,3278,0.577344954
372,5.2027714771,3278,0.577344954
373,5.89046573139,3278,0.577344954
374,5.54956443434,3278,0.577344954
375,5.13643945427,3278,0.577344954
376,4.63243992552,3278,0.577344954
377,5.20071977748,3278,0.577344954
378,5.52794421542,3278,0.577344954
379,4.84314491462,3278,0.577344954
380,5.48171231053,3278,0.577344954
381,5.20898795425,3278,0.577344954
382,5.11086698348,3278,0.577344954
383,4.79745515826,3278,0.577344954
384,4.64974401334,3278,0.577344954
385,4.61738433079,3278,0.577344954
386,4.72439737411,3278,0.577344954
387,4.4952746994,3278,0.577344954
388,4.53280500602,3278,0.577344954
389,4.96772809925,3278,0.577344954
390,4.90693952821,3278,0.577344954
391,4.98641908612,3278,0.577344954
392,4.60193259618,3278,0.577344954
393,5.42996256836,3278,0.577344954
394,4.7615545578,3278,0.577344954
395,5.54476884131,3278,0.577344954
396,5.9314169042,3278,0.577344954
397,5.30439745892,3278,0.577344954
398,6.07493860751,3278,0.577344954
399,4.91049103572,3278,0.577344954
400,5.31175111726,7287,0.577344954
401,4.95022257881,7287,0.577344954
402,4.64240736274,7287,0.577344954
403,4.49715444648,7287,0.577344954
404,4.47558020138,7287,0.577344954
405,4.75995543332,7287,0.577344954
406,5.42161585512,7287,0.577344954
407,4.84861663963,7287,0.577344954
408,4.49675605243,7287,0.577344954
409,4.64111144733,7287,0.577344954
