# Id,x_center,y_center,z_center,c,c_max,c_min,r_vir,n_vir,n_tot
85011024085,359.981900,476.534700,842.731600,1.000059,1.687041,1.000059,0.230614,26,28
85011024086,358.282600,475.524200,843.058600,3.104748,4.008496,2.220631,0.095160,26,28
85011024087,362.172100,445.713900,846.684500,1.000027,1.630814,1.000027,0.083737,13,28
85011024088,370.457600,472.418900,847.599800,2.335175,2.965332,1.692682,0.120742,23,28
85011024090,363.926500,494.183800,834.344200,4.286771,5.191086,3.367192,0.096721,25,28
85011024092,362.992900,490.046900,841.598600,2.457679,3.127134,1.800317,0.087245,25,28
85011024093,343.126600,455.977000,851.688200,5.580583,7.356537,3.824798,0.089443,20,28
85011024094,354.076800,422.547500,844.973600,5.225007,6.282808,4.192186,0.103913,23,28
85011024099,333.564100,458.536200,840.050200,2.931303,3.766253,2.101668,0.089715,20,28
85011024100,334.266600,426.262700,837.925400,1.222574,2.603018,1.000130,0.088884,17,28
85011024111,370.463200,477.428200,862.026600,1.519394,2.971735,1.000094,0.075159,11,28
85011024115,360.439800,420.067400,865.662600,1.388143,2.070201,1.000171,0.087022,11,28
85011024118,366.785900,438.416300,857.597200,28.670374,47.571868,10.273169,0.109681,19,28
85011024119,374.153900,429.592300,857.176500,4.047929,5.201124,2.914376,0.106900,21,28
85011024120,350.625100,457.451900,856.859100,1.000011,1.616467,1.000011,0.104902,26,28
85011024121,362.746000,487.915600,858.621200,8.106083,11.322292,4.941824,0.088069,9,28
85011024122,361.128100,495.459900,858.388500,6.155646,7.627809,4.668851,0.101175,26,28
85011024144,374.116300,428.045300,854.851700,7.710867,2773.028222,1.000179,0.053796,4,28
85011024145,358.374000,432.995000,852.340900,2.593925,3.280693,1.920433,0.099205,26,28
85011024248,345.830800,430.910800,870.216600,2.319641,4.454903,1.000147,0.080570,13,28
85011024249,361.345500,468.727100,872.710100,1.935457,3.405511,1.000022,0.076238,12,28
85011024250,367.883700,446.664200,870.747400,1.337926,2.018228,1.000001,0.078415,13,28
85011024251,369.337600,474.854300,872.439000,1.000007,1.689691,1.000007,0.096026,20,28
85011024252,364.131300,474.919600,870.401100,1.000457,121.778086,1.000457,0.054001,3,28
85011024253,359.068400,460.980000,872.571000,1.000047,13.343626,1.000047,0.069728,4,28
85011024254,364.799800,449.470600,874.736900,2.779310,3.556589,1.990497,0.183325,26,28
85011024255,350.404300,451.822800,874.538800,7.039947,10.121836,3.996019,0.094849,22,28
85011024256,359.243600,458.831900,874.153600,9.894603,12.729591,7.124225,0.096823,22,28
85011024257,346.356500,468.294400,882.355000,1.000016,4.269401,1.000016,0.081463,10,28
85011024258,361.229700,466.191300,873.892900,1.000012,2.720733,1.000012,0.087705,17,28
85011024259,355.691200,461.298600,874.658400,9.897615,36.780422,2.281814,0.068950,5,28
85011024260,342.847700,477.418300,882.403000,2.554082,3.287852,1.806431,0.099751,22,28
85011024261,353.679900,454.910600,882.578400,1.608319,2.257212,1.000027,0.097909,24,28
85011024262,345.467500,469.647900,883.297200,5.740867,22.797162,1.001408,0.072059,8,28
85011024263,362.788800,445.492600,878.798200,1.000011,17.500286,1.000011,0.073849,3,28
85011024264,364.589500,447.580300,879.436400,1.000141,1.650342,1.000141,0.270768,26,28
85011024265,362.510000,447.106300,879.952600,20.487757,76.025498,1.590372,0.057751,3,28
85011024266,359.247300,440.613600,884.715300,2.330365,3.228563,1.445717,0.096408,23,28
85011024267,360.104300,478.774400,897.586900,1.000049,2.294960,1.000049,0.068621,6,28
85011024268,363.283800,444.090300,901.976000,7.702510,117.429998,1.027804,0.066370,5,28
85011024269,337.464500,467.932300,906.884500,2.757413,4.988000,1.000005,0.061087,5,28
85011024270,349.207600,444.963600,907.509700,1.000003,1.612003,1.000003,0.088304,18,28
85011024271,371.894300,486.528900,894.573500,7.700811,9.575423,5.831388,0.086114,15,28
85011024272,373.169300,493.452500,906.714200,1.000014,1.612013,1.000014,0.274086,26,28
85011024273,366.196300,489.961500,876.075900,1.000003,3.143455,1.000003,0.076695,11,28
85011024274,353.728900,494.199500,872.025400,5.826941,9.320348,2.355702,0.071698,9,28
85011024275,362.448800,495.473600,891.834400,4.452671,5.283727,3.612640,0.098630,23,28
85011024276,371.547700,489.032300,878.359200,4.279025,10.456346,1.000000,0.056688,3,28
85011024277,365.649500,495.993300,889.817600,5.288015,9.875305,1.007272,0.082637,15,28
85011024278,373.716400,427.420000,890.160400,1.000012,1.780248,1.000012,0.090238,18,28
85011024279,373.546600,425.873400,877.308900,1.000057,2.721679,1.000057,0.072511,9,28
85011024280,373.151100,426.904300,914.516400,1.550921,2.170031,1.000036,0.262174,26,28
85011024281,359.128500,496.534600,872.101800,1.000061,361.696550,1.000061,0.053268,4,28
85011024282,350.161300,496.705500,864.065200,1.202473,2.244331,1.000005,0.078050,12,28
85011024283,345.523800,471.291500,863.882000,2.888325,4.748922,1.000650,0.082905,15,28
85011024284,345.900100,484.162200,865.119900,2.391570,3.300346,1.481514,0.089284,17,28
85011024285,340.702200,471.897500,866.744600,3.315372,4.098254,2.544006,0.110483,24,28
85011024286,366.202000,439.128500,868.424900,1.169770,5.332655,1.000024,0.082567,14,28
85011024287,351.491900,462.508300,867.674600,8.692357,11.629552,5.676242,0.096681,22,28
85011024288,359.383400,436.740100,867.337900,2.404270,3.167070,1.632249,0.108184,26,28
85011024289,335.267100,432.692700,874.760000,2.625967,3.831062,1.424778,0.079631,12,28
85011024290,333.225400,461.967800,903.517900,8.132942,34.261206,1.000655,0.056776,2,28
85011024296,338.103500,475.038600,918.577800,3.088086,3.849099,2.323765,0.095734,22,28
85011024299,361.843900,472.804300,917.518600,12.119166,1364.914150,1.046919,0.053940,3,28
85011042433,384.497800,466.001100,872.702000,1.000057,9.991335,1.000057,0.069597,5,28
85011042434,382.998700,469.759700,874.865900,5.849860,7.134163,4.588419,0.431971,26,28
85011042435,384.158500,466.820600,871.768700,2.737061,3.601095,1.869203,0.337094,26,28
85011042436,385.349300,466.444800,871.621900,2.611588,2034.539275,2.611588,0.045930,2,28
85011042437,382.794100,467.142300,872.206400,1.001124,74.799086,1.001124,0.069521,4,28
85011042438,385.443200,471.208600,872.632600,4.140063,6.503935,1.706142,0.074266,10,28
85011042439,385.001600,477.026200,875.216900,10.040123,15.307154,4.617311,0.052208,2,28
85011042440,377.096600,459.866800,868.832500,1.649385,350.013991,1.003089,0.061491,3,28
85011042441,404.293500,445.449500,872.724500,1.000011,2.998656,1.000011,0.094685,13,28
85011042442,392.761300,429.400500,872.568300,2.514709,3.151419,1.890280,0.095689,26,28
85011042443,380.239200,428.681400,866.705800,1.000003,1.661514,1.000003,0.090099,20,28
