#Id,x_center,y_center,z_center,c_bdmv,c_bdmv_max,c_bdmv_min,c_bdmw,c_bdmw_max,c_bdmw_min,r_vir_bdmv,r_vir_bdmw,n_vir_bdmv,n_vir_bdmw,n_tot
85000912625,461.688300,518.484700,498.152400,12.054295,12.509237,11.600734,8.891600,9.226425,8.548104,0.333942,0.251443,460,425,471
85000912833,455.353300,464.740800,462.996000,11.840388,12.500774,11.172690,7.687402,8.066628,7.315132,0.271045,0.208646,253,242,471
85000912909,509.067300,508.762600,548.619700,7.721374,8.031917,7.413045,5.324613,5.727945,4.909635,0.326098,0.245319,451,390,471
85000914534,495.117200,524.124100,451.279000,5.856122,6.258422,5.464177,4.194238,4.677461,3.701901,0.292737,0.220100,328,280,470
85000914703,471.545100,486.602900,457.711100,5.592828,6.003929,5.177696,3.921438,4.398736,3.434468,0.320893,0.236170,424,349,470
85000914704,452.294800,455.281700,521.422700,7.032274,7.350657,6.710657,4.672491,5.117631,4.220330,0.329660,0.247526,451,403,470
85000914771,519.416100,546.803300,512.465400,9.458590,9.872962,9.046846,7.642845,8.014157,7.261881,0.302067,0.223953,356,298,470
85000916668,508.977100,504.274000,513.841400,4.205844,4.669021,3.734726,3.268136,3.807140,2.715645,0.323732,0.226908,435,311,469
85000916814,488.127100,508.595800,544.739600,8.748835,9.112059,8.388905,5.828375,6.216540,5.436919,0.328709,0.250312,456,416,469
85000918495,481.236300,453.208900,512.904800,5.412652,5.831905,4.991257,3.538841,4.049786,3.033419,0.318191,0.236181,412,345,468
85000918496,450.206400,472.919100,511.867500,6.077574,6.441528,5.714873,3.896175,4.392087,3.414297,0.318730,0.240834,417,365,468
85000922125,494.574600,514.697000,508.763100,8.097048,8.402258,7.793017,5.470315,5.871298,5.066852,0.327201,0.246331,451,396,466
85000922359,452.932400,475.245700,516.245500,1.791908,2.385714,1.181341,1.078848,1.684003,1.000003,0.287606,0.198575,304,207,466
85000924311,538.903000,486.764600,468.653400,3.970429,4.466638,3.480077,2.625303,3.184663,2.070618,0.317260,0.231498,415,329,465
85000924317,473.004200,467.852900,513.194400,7.823325,8.122965,7.515128,5.469025,5.877822,5.062972,0.328128,0.247214,453,402,465
85000924393,544.176500,536.424000,519.229200,5.957499,6.337930,5.583322,3.974588,4.469348,3.489961,0.322505,0.244578,438,385,465
85000924395,514.644000,536.608400,507.872000,7.828571,8.129741,7.523108,5.488296,5.908705,5.078720,0.325123,0.242148,441,378,465
85000926023,459.047300,533.635000,486.674400,10.424124,10.827846,10.026252,7.711759,8.023361,7.398162,0.325628,0.241252,444,373,464
85000926024,498.017700,507.154700,477.746900,6.114692,6.477762,5.745308,3.698681,4.204383,3.204124,0.327206,0.249119,453,417,464
85000926029,504.562600,467.858600,543.326500,4.376964,4.830569,3.915149,2.912824,3.466515,2.358593,0.326024,0.250444,454,419,464
85000926316,529.305700,537.892700,519.233800,6.492100,6.853653,6.128393,4.262706,4.737928,3.796294,0.319573,0.242873,423,379,464
85000927958,501.046900,527.417200,499.068500,13.838846,14.380637,13.304575,9.309216,9.656849,8.963165,0.329328,0.253986,461,434,463
85000930408,483.227600,527.252400,549.672900,2.398812,2.966700,1.825257,1.474346,2.080217,1.000246,0.314546,0.226558,402,309,462
85000931871,465.068100,502.969200,480.886000,9.010266,9.388380,8.625944,7.010982,7.344981,6.677663,0.324242,0.237952,441,358,461
85000931911,535.680600,510.793600,464.058800,9.983542,10.516853,9.435258,7.233787,7.660379,6.810298,0.271025,0.204312,257,226,461
85000933828,542.740300,453.001700,526.914400,6.500285,6.902757,6.101225,4.471148,4.935563,4.002280,0.278937,0.211088,285,250,460
85000933861,463.480000,506.371200,452.798600,9.876285,10.253800,9.506738,7.006344,7.334286,6.672723,0.323819,0.245043,442,390,460
85000933866,532.113400,516.292700,465.896600,4.954511,5.380598,4.524687,3.308649,3.836626,2.783587,0.325507,0.240643,442,369,460
85000934048,490.424300,466.855200,465.369500,7.031542,7.348634,6.713800,4.351091,4.820506,3.893650,0.324506,0.248466,442,402,460
85000937473,456.040800,478.436900,452.018500,11.187650,12.144748,10.250686,9.565764,10.393499,8.726410,0.210866,0.150150,118,89,458
85000937726,459.138500,540.521200,466.030800,9.331994,9.707914,8.966493,6.544651,6.891432,6.194235,0.325605,0.244811,442,390,458
85000937727,480.001600,515.140400,466.833100,8.923620,9.296797,8.548218,6.677244,7.033611,6.325841,0.304615,0.224929,366,301,458
85000937916,458.655200,482.279400,499.540000,8.381882,8.739955,8.032429,6.122592,6.520902,5.718940,0.295662,0.219633,331,279,458
85000939687,473.628400,545.759200,541.719400,7.173101,7.500920,6.836216,5.459194,5.899511,5.013706,0.314595,0.228366,399,315,457
85000941653,485.598800,507.491800,499.775300,6.459719,6.813116,6.114057,4.266728,4.729547,3.798189,0.320556,0.244215,417,386,456
85000941701,459.956900,536.274000,455.054100,4.540937,5.093188,3.987859,3.471208,4.026108,2.906959,0.264692,0.186835,239,173,456
85000943991,516.561200,453.467100,500.923000,3.539611,4.052104,3.035881,2.291707,2.868120,1.707909,0.319663,0.233409,420,338,455
85000944001,485.587200,487.280600,498.964200,7.600586,7.924274,7.278986,5.636905,6.042994,5.234956,0.307012,0.225412,371,304,455
85000945811,453.520700,496.204500,523.235800,7.507473,7.796624,7.218493,5.502785,5.915346,5.091143,0.321690,0.241422,438,376,454
85000945816,480.318100,457.546800,535.358500,4.535206,4.995214,4.065363,3.244900,3.777947,2.706809,0.301618,0.219990,356,290,454
85000945854,456.495900,539.817700,468.574100,10.197139,10.661606,9.721671,6.797925,7.184338,6.415938,0.279708,0.213862,284,256,454
85000946031,510.697700,467.648300,453.037700,5.378463,5.802232,4.942448,3.914384,4.429048,3.401744,0.305744,0.224635,371,298,454
85000946032,514.135500,476.312100,494.729800,8.539031,8.869784,8.206574,5.760549,6.168352,5.341070,0.324933,0.249117,441,409,454
85000947960,536.161800,492.156400,462.368100,9.716290,10.133185,9.311439,6.361252,6.710660,6.007279,0.320796,0.244369,428,387,453
