#file,c
Halo_NR_14184.csv,6.757872
Halo_NR_16729.csv,8.171412
Halo_NR_22407.csv,6.249687
Halo_NR_22899.csv,5.393191
Halo_NR_05677.csv,8.812104
Halo_NR_11244.csv,3.872352
Halo_NR_18425.csv,5.695764
Halo_NR_27714.csv,5.205993
Halo_NR_19388.csv,9.282426
Halo_NR_01327.csv,3.669819
Halo_NR_21384.csv,6.086118
Halo_NR_17658.csv,7.791560
Halo_NR_13630.csv,5.681257
Halo_NR_20414.csv,7.261482
Halo_NR_16385.csv,4.694655
Halo_NR_29567.csv,4.127530
Halo_NR_00230.csv,4.342807
Halo_NR_22320.csv,6.795124
Halo_NR_03773.csv,4.323008
Halo_NR_25525.csv,8.974782
Halo_NR_09558.csv,4.278292
Halo_NR_06052.csv,4.950370
Halo_NR_13003.csv,6.322588
Halo_NR_16224.csv,7.006299
Halo_NR_25879.csv,7.004549
Halo_NR_21844.csv,4.156999
Halo_NR_27789.csv,3.844093
Halo_NR_21147.csv,3.807417
Halo_NR_18616.csv,9.620627
Halo_NR_27882.csv,12.633356
Halo_NR_06816.csv,2.328737
Halo_NR_06657.csv,2.746346
Halo_NR_14619.csv,7.390939
Halo_NR_12787.csv,8.579996
Halo_NR_21785.csv,7.338324
Halo_NR_16823.csv,6.511979
Halo_NR_09769.csv,6.538767
Halo_NR_18133.csv,3.972535
Halo_NR_30075.csv,4.394511
Halo_NR_02191.csv,6.626640
Halo_NR_11767.csv,7.289660
Halo_NR_13755.csv,7.434442
Halo_NR_13839.csv,7.514380
Halo_NR_09395.csv,5.930532
Halo_NR_05900.csv,5.721120
Halo_NR_20596.csv,5.735715
Halo_NR_26357.csv,3.404873
Halo_NR_01234.csv,5.869481
Halo_NR_14495.csv,5.117398
Halo_NR_06498.csv,3.333445
Halo_NR_25394.csv,5.342624
Halo_NR_10887.csv,6.937030
Halo_NR_29607.csv,3.571048
Halo_NR_31182.csv,6.186962
Halo_NR_12707.csv,6.818488
Halo_NR_09915.csv,4.533901
Halo_NR_13277.csv,8.333682
Halo_NR_09225.csv,2.328737
Halo_NR_19743.csv,6.323025
Halo_NR_03439.csv,3.651468
Halo_NR_30101.csv,6.637905
Halo_NR_03659.csv,2.333305
Halo_NR_03044.csv,3.796949
Halo_NR_17478.csv,4.315305
Halo_NR_08490.csv,5.781352
Halo_NR_13119.csv,6.079745
Halo_NR_24433.csv,4.688080
Halo_NR_11833.csv,5.292139
Halo_NR_25392.csv,5.512070
Halo_NR_06188.csv,4.436801
Halo_NR_28720.csv,4.635602
Halo_NR_30723.csv,6.764511
Halo_NR_29889.csv,6.795029
Halo_NR_03836.csv,2.692946
Halo_NR_30455.csv,3.114772
Halo_NR_18572.csv,7.328745
Halo_NR_14729.csv,4.333304
Halo_NR_30205.csv,5.643898
Halo_NR_13847.csv,4.716409
Halo_NR_14573.csv,6.509479
Halo_NR_01227.csv,2.741811
