# Id,x_center,y_center,z_center,c,c_max,c_min,r_vir,n_vir,n_tot
85003404154,350.594700,463.214400,906.769200,7.432958,7.997327,6.861405,0.310701,117,118
85003404155,373.752900,442.555800,909.050500,11.025380,11.849386,10.177782,0.249310,117,118
85003404156,337.035900,426.927300,910.115500,6.577115,7.068341,6.083396,0.281187,117,118
85003404157,370.808800,423.214500,887.528000,8.758620,9.422830,8.084322,0.292901,117,118
85003404158,363.088800,436.469900,866.645700,8.065154,8.688442,7.428273,0.280080,117,118
85003406664,401.829700,448.358300,873.006800,9.005143,9.669154,8.330648,0.319336,117,118
85003406665,387.887100,493.337500,909.459000,9.419875,10.144449,8.691264,0.273042,117,118
85003406666,411.866800,476.426100,890.600200,20.460377,22.509238,18.413502,0.315569,117,118
85003406667,381.929400,466.968200,864.853000,21.236952,23.339403,19.100714,0.319457,117,118
85003406671,423.309300,427.264200,861.337300,16.545800,17.922821,15.164436,0.289664,117,118
85003406674,425.609000,440.301100,869.256700,8.878985,9.695379,8.066378,0.453028,117,118
85003406682,381.881900,474.386600,916.562800,13.591632,14.777145,12.422060,0.244288,117,118
85003407008,360.012200,518.340000,848.977000,16.683322,17.892697,15.459409,0.413952,117,118
85003407009,341.126900,515.851300,856.302900,10.136010,10.937394,9.328705,0.283242,117,118
85003407035,332.518700,510.171700,899.279800,11.535686,12.412967,10.669099,0.272517,117,118
85003407088,405.897500,503.574700,850.650900,8.634650,9.336735,7.925763,0.323119,117,118
85003407089,384.085800,512.437900,842.394200,14.908567,16.165233,13.683475,0.486366,117,118
85003407093,397.377000,515.521100,834.211900,21.227451,23.209882,19.287297,0.342338,117,118
85003428979,345.056000,483.767600,852.243800,20.218199,21.911728,18.479828,0.250096,116,117
85003431229,378.357700,449.751800,824.956300,13.698450,14.635193,12.769422,0.222959,116,117
85003431231,414.050100,451.190000,842.860000,7.064877,7.632286,6.511462,0.298880,116,117
85003431232,392.871600,422.007700,835.620700,15.585617,16.860950,14.330157,0.284345,116,117
85003431508,362.459100,428.929100,820.676200,8.032807,8.643348,7.407524,0.239276,116,117
85003431510,356.869100,436.135700,842.107500,6.702849,7.359810,6.031278,0.237930,116,117
85003431511,337.047600,461.982800,842.831500,8.939692,9.614394,8.248663,0.237212,116,117
85003431513,361.190500,487.891100,863.265000,18.284696,19.702370,16.882878,0.328169,116,117
85003431514,354.819600,461.614500,856.836200,9.591519,10.257968,8.942178,0.311900,116,117
85003431515,351.205700,461.250700,859.161500,17.360552,18.871276,15.846707,0.347312,116,117
85003431528,354.842700,477.888700,869.970500,7.414806,8.049509,6.798099,0.281269,116,117
85003431529,368.027000,453.212600,872.216200,17.589206,18.958544,16.241675,0.344112,116,117
85003431530,357.725400,443.224100,877.093600,5.586277,6.031705,5.141361,0.234003,116,117
85003431531,362.111400,443.102700,904.382400,8.909262,9.512315,8.307532,0.291386,116,117
85003431532,370.057700,493.899700,878.152300,11.616322,12.438957,10.788279,0.350274,116,117
85003431533,336.823500,467.722100,890.098100,5.944614,6.482528,5.392111,0.269841,116,117
85003434130,383.160600,477.963300,874.770000,30.564143,33.595210,27.577819,0.639058,116,117
85003434131,386.713600,477.754600,874.246800,8.970884,9.733983,8.210069,0.328069,116,117
85003434132,395.376700,456.718600,876.496900,6.289619,6.910111,5.681686,0.277437,116,117
85003434133,404.242400,452.483700,882.164100,15.535883,16.701746,14.347591,0.244735,116,117
85003434134,384.449100,434.258100,892.066200,7.823448,8.396425,7.265692,0.327159,116,117
