#haloID,c_low,c_mid,c_high,n_particles
0,11.3912861908,11.4103449525,11.4319523148,1552
1,6.09995009457,6.14218555989,6.21320963816,342
2,8.47416878826,8.51954943788,8.5370975576,711
3,6.86377699869,6.92250180059,7.0053773984,283
5,6.19632286574,6.2318911515,6.27743103706,333
6,4.19353757007,4.24875967176,4.31144428278,220
7,5.09248682822,5.16662432209,5.22677761183,235
8,3.39016810332,3.42473664583,3.45778204076,371
9,10.8990594201,11.0018931223,11.1169428934,230
12,5.26518974433,5.34079675988,5.41315125909,239
13,8.90949041724,8.91553602792,8.92068635599,4684
14,9.61264670676,9.6465703809,9.67845496841,976
15,6.44957268467,6.53833975607,6.61853131277,250
17,5.15669262556,5.19569309358,5.24346181094,350
19,6.72593396339,6.7386262443,6.74908069489,1743
20,8.60593085878,8.62003430096,8.63273381176,2077
21,4.06390700004,4.10733371816,4.13423414424,319
23,8.75002356469,8.75140652481,8.75215940581,30688
25,11.0105053066,11.0311871767,11.0470093555,1878
26,10.1195994263,10.2098182898,10.2344184183,489
28,5.08343720886,5.18074287076,5.25468270432,236
29,5.67902775464,5.77560871122,5.84282187512,209
30,5.42712468087,5.50787671765,5.58230519381,232
31,8.35041803765,8.42350066169,8.50205543538,345
32,5.86837489376,5.89607158741,5.91868604479,727
33,9.50234321551,9.66786158822,9.78842627936,243
34,3.74536076906,3.75216714597,3.75810236233,1556
35,10.5108568297,10.5479997374,10.5874089925,807
36,9.05624481523,9.19876317575,9.29908058903,236
37,7.31270341925,7.38675993973,7.45632326124,295
38,7.96837693547,8.01044260442,8.03695304796,747
39,7.8811401472,7.9494053013,7.99663885312,402
41,4.74999080626,4.76403190896,4.7747504306,1302
42,8.68384774433,8.73789309891,8.80378229217,403
43,4.89309655734,4.96070377285,5.01978218837,244
44,6.55031747544,6.57441711864,6.60324473047,728
45,9.19780375864,9.29548962164,9.40678771451,253
46,6.8869876592,6.91175123868,6.93057420683,967
47,6.92788274636,6.983529343,7.04807189027,290
48,8.77516449641,8.80325692384,8.81886808101,1414
49,7.2329472587,7.32041509484,7.38759956482,304
50,7.24448491071,7.30996769432,7.38121227427,415
52,8.60979603285,8.65129728953,8.68810438025,663
53,6.93762273594,7.03474593004,7.15335870303,237
55,8.92473200135,8.9602849545,9.01323057685,615
56,3.59508090853,3.64556205944,3.70807986285,225
57,5.42820827415,5.47578996451,5.50085795809,322
58,5.99541254399,6.05981758503,6.12038081301,291
59,9.39185576038,9.41884562175,9.46233234559,916
60,5.73541706915,5.80661947237,5.87962085243,239
61,5.05462785097,5.05577373979,5.05722024362,11927
62,6.2602482384,6.31360898295,6.36770577239,305
63,3.52669664593,3.53312702779,3.54479051905,1058
64,5.72162463977,5.75158000512,5.78059568703,472
66,6.48304006894,6.55554773154,6.64290139631,218
68,8.63120459067,8.71484009232,8.80947545378,271
69,3.17179925763,3.17512775842,3.18060764563,1857
70,8.30323952135,8.31117411185,8.32067167058,3364
71,9.14776957622,9.22025100121,9.2946536857,405
72,6.24789690419,6.38607303597,6.49313752574,201
73,9.99293255719,10.1195231385,10.2654086409,239
74,5.95783405049,6.04257509229,6.13589882249,233
76,7.05214333555,7.11417465398,7.17815059105,350
77,6.23074636955,6.25582195228,6.27576150418,734
78,8.03611584654,8.08907550139,8.14930986805,444
79,5.82247894172,5.84711856732,5.87162344322,882
80,9.61787920279,9.69315820421,9.78084894598,376
81,4.82170909627,4.84089889017,4.86095499692,695
82,7.50284713549,7.60408588151,7.69519244951,241
83,6.27592717587,6.32054569475,6.3617622698,483
88,10.835815614,11.0053098342,11.1662001238,234
89,7.37739434003,7.44133124491,7.5068465137,346
91,8.76196459931,8.79915868059,8.83252378746,676
92,5.5143643949,5.52266349266,5.52795388335,2825
94,9.07770958886,9.14203313066,9.19982646607,407
95,5.39286627719,5.40638791554,5.4115431374,2053
96,5.91152525211,5.9163687312,5.92179990839,3366
98,6.88785684129,6.94682677843,6.99964046571,383
99,10.3438568636,10.4293053663,10.5274113361,376
100,7.17555913179,7.20912061197,7.27066534461,427
101,7.17062120905,7.22590685922,7.27832171254,474
102,6.86865873844,6.92639821287,6.98548172197,332
103,5.88752371358,5.96526733936,6.03858133345,227
104,13.6175730619,13.7098804012,13.7970216309,481
105,7.81176929761,7.85025112888,7.89585357525,605
106,7.62681939816,7.72592159778,7.8356599245,240
107,7.98597763619,7.98972797364,7.9949138362,4804
108,6.72234557225,6.80109112817,6.87174845779,255
110,1.21838470083,1.23926060801,1.26558568203,272
111,5.1773866839,5.22493753769,5.26876867041,420
112,5.80752431523,5.88056119552,5.954272826,286
113,7.36690737724,7.42048640629,7.53605248311,206
114,11.0771510299,11.1371773017,11.2135547609,541
115,4.73073957314,4.77484578293,4.82219298557,350
117,4.69494532766,4.72420890349,4.73958791099,638
119,8.43199077105,8.46150878781,8.4872146032,956
121,22.816696243,23.0070793068,23.2823143442,369
122,6.19498783292,6.24512823257,6.28897533259,405
123,9.32688861704,9.37630022938,9.42057268775,615
124,6.66487956041,6.68503708196,6.70562300267,1268
125,5.32034316937,5.39288151687,5.45219106414,296
126,6.05642917621,6.1037160582,6.15379817447,382
127,6.39455813059,6.41716407125,6.43723082865,1074
128,7.65498604864,7.73514607814,7.79418332034,361
129,6.54600103917,6.55865261718,6.56696178962,2152
131,6.51995919391,6.58380109505,6.63949030786,458
132,7.5485147665,7.63556888774,7.72854757847,257
133,6.11466313552,6.12208654016,6.12980178538,2316
134,6.84993331801,6.85840359981,6.8667456405,2029
135,6.22821088742,6.27955631273,6.33355621147,407
136,6.2203871171,6.28499052547,6.35047480653,313
137,11.2237098773,11.4415476371,11.5798037501,216
141,8.85090888022,8.92906160648,9.00917023686,390
143,10.7119623385,10.7356974942,10.7524401504,1589
144,5.9198511101,5.93627618025,5.95443074411,985
145,12.1945930054,12.3222061109,12.4433268492,301
147,5.71337498032,5.74761250607,5.77672323167,608
148,10.8515747687,10.9369730343,11.0342378586,329
149,5.54006784382,5.58332774261,5.61522434093,441
150,7.82978864083,7.85858755258,7.89186392173,874
151,4.82684107386,4.89025668138,4.95872816628,222
152,6.97902168548,7.08178642015,7.18178221763,222
154,6.38054590805,6.40943718292,6.43616425061,806
155,4.8890069869,4.90929386662,4.92896084686,854
156,10.4479168136,10.5267869227,10.6162380492,380
157,7.07725389501,7.08502707062,7.0921553779,2754
158,6.35476820628,6.44797796694,6.51648825131,230
159,3.7498496524,3.79013703478,3.82786662181,277
160,7.64295045466,7.71328899754,7.80357069631,255
161,7.65417166538,7.7527559279,7.84646546598,237
162,12.8382412136,12.9537378239,13.0562416169,335
163,10.9078971604,11.0152669805,11.1139978769,338
164,8.87522089629,9.03134151992,9.1600468198,205
165,12.5059270812,12.6815825355,12.8149159126,212
166,4.34419790644,4.4026555331,4.46076975624,258
167,6.25172134755,6.32766907922,6.38800341531,289
168,9.61220766668,9.73752807583,9.82418530068,291
169,6.10099663901,6.19821550406,6.29064484019,207
170,6.84712271322,6.86374258295,6.87999861696,1201
173,4.45656935212,4.5114435433,4.56497427943,265
174,7.08524061183,7.1190943494,7.16553478349,530
176,5.83069008823,5.84269507005,5.86037391647,1207
177,13.2273040983,13.3531679237,13.5400780872,252
179,7.86433460722,7.92238025504,7.99004892474,427
181,5.10106251776,5.11961284877,5.13005290227,938
182,9.71774396168,9.82294262175,9.9252050077,252
183,3.70276405775,3.71292751387,3.72264471799,1425
184,10.0600792587,10.1994652612,10.2944210846,261
185,5.67907768999,5.71172435526,5.74129603554,609
186,7.59394524633,7.63348396266,7.6567631293,673
187,8.96673327764,8.99195674949,9.01466295815,1106
188,8.96451628948,8.98740549711,9.01436473897,1215
189,8.05971045014,8.16675705209,8.25248674351,224
192,8.03761910014,8.09266155877,8.12917296988,497
193,7.70727698893,7.76804673284,7.82028386468,387
196,8.87998509623,8.90545821072,8.92779610809,1302
197,5.32067024109,5.38971124703,5.47144503341,218
198,4.11077954797,4.15872618246,4.21385095718,266
199,8.86960310462,8.88851264167,8.91160881614,1136
200,6.8783078941,6.92812474289,6.96876931617,437
201,7.71972644185,7.80022734375,7.89503325876,242
202,20.2376104182,20.3280948458,20.4335435921,631
203,6.8206481245,6.84627225126,6.86272251606,1048
204,6.96192103295,6.96709849583,6.97435901066,3663
205,6.38583559753,6.44027067379,6.49594070315,374
206,7.05705264428,7.08818872549,7.1171014983,755
207,6.08825715496,6.12484059872,6.15214280268,548
208,6.59634689565,6.68157656664,6.77812857532,244
209,6.75581852835,6.80153697082,6.87937865317,296
210,6.70501329671,6.8062090679,6.87524579054,237
211,4.49236496743,4.51749981218,4.5539639537,440
212,5.38528960801,5.4459729835,5.51553990622,257
213,5.37961688595,5.38081467002,5.38177153534,13274
214,8.7952297713,8.80398666861,8.81221197121,3125
215,7.46566784932,7.51665574297,7.57498783872,375
216,5.92372753742,5.92562013198,5.92827098392,6598
217,6.86565560129,6.88548734592,6.9064520007,987
218,10.2180865558,10.3575451151,10.4871743644,235
221,9.89766818412,9.99358037359,10.118281057,279
224,6.58287172859,6.65782277701,6.71241040921,283
225,4.0468152263,4.11495139558,4.16542938259,235
227,5.9956548959,6.05530225088,6.11050326153,348
228,7.67872868355,7.73657870244,7.80773957827,430
231,8.24879494516,8.2819770273,8.31712154798,761
232,10.3778286542,10.4036914104,10.4234705653,1632
233,9.41595654286,9.4425391682,9.46701363946,1185
234,6.86673343908,6.91566117238,6.96091091281,468
235,9.42738967036,9.47605253382,9.50842695575,643
236,7.91237179343,7.99006770912,8.05582783112,266
237,4.70490704732,4.7870022439,4.86104741255,229
238,5.67236200435,5.68954063231,5.70342615454,1125
239,9.82607218694,9.98438309885,10.1589811226,203
240,7.14690899423,7.25293765799,7.3658652419,204
241,7.23038705393,7.31396239161,7.39821490791,223
242,8.94711388064,8.95546138902,8.96276200492,3766
243,6.3815486558,6.41277779225,6.44422554584,545
245,2.60385158079,2.60935293482,2.61457078001,1886
246,8.74427640546,8.78307696213,8.8181312622,758
247,6.0887166073,6.09767640418,6.1107158875,1559
