#file,c
Halo_R_22772.csv,9.480903
Halo_R_20243.csv,4.853862
Halo_R_28621.csv,7.984787
Halo_R_07517.csv,6.595180
Halo_R_15902.csv,7.208581
Halo_R_06695.csv,5.424337
Halo_R_02274.csv,6.241380
Halo_R_04322.csv,5.704433
Halo_R_03814.csv,6.075238
Halo_R_28602.csv,5.598352
Halo_R_31209.csv,5.285322
Halo_R_03155.csv,7.177421
Halo_R_10505.csv,6.494055
Halo_R_11032.csv,5.021330
Halo_R_27686.csv,6.865737
Halo_R_25224.csv,7.085393
Halo_R_04967.csv,5.544830
Halo_R_06917.csv,4.728615
Halo_R_14222.csv,8.157906
Halo_R_28223.csv,11.113906
Halo_R_18569.csv,7.067801
Halo_R_04750.csv,5.852565
Halo_R_19609.csv,5.730411
Halo_R_18482.csv,6.578687
Halo_R_04072.csv,5.689745
Halo_R_05680.csv,5.533498
Halo_R_18555.csv,5.641404
Halo_R_02483.csv,5.193720
Halo_R_02139.csv,6.110920
Halo_R_00871.csv,5.993766
Halo_R_05166.csv,3.147197
Halo_R_01721.csv,7.842361
Halo_R_12719.csv,5.848448
Halo_R_00459.csv,5.960097
Halo_R_27360.csv,6.208014
Halo_R_00460.csv,5.806075
Halo_R_02126.csv,2.916799
Halo_R_03462.csv,7.156932
Halo_R_19617.csv,8.969827
Halo_R_19660.csv,6.018128
Halo_R_02730.csv,4.314799
Halo_R_16635.csv,6.922444
Halo_R_04456.csv,5.387985
Halo_R_27982.csv,6.298965
Halo_R_01301.csv,8.274399
Halo_R_00914.csv,6.478341
Halo_R_19740.csv,8.548986
Halo_R_02560.csv,7.903046
Halo_R_20525.csv,6.363193
Halo_R_03829.csv,7.112803
Halo_R_27317.csv,6.019954
Halo_R_26199.csv,6.252291
Halo_R_07504.csv,7.731310
Halo_R_09944.csv,8.486881
Halo_R_20723.csv,5.082273
Halo_R_09258.csv,5.456074
Halo_R_15554.csv,4.240423
Halo_R_17508.csv,4.627500
Halo_R_06368.csv,7.084081
Halo_R_10674.csv,8.113015
Halo_R_01740.csv,8.733787
Halo_R_31204.csv,5.878132
Halo_R_21778.csv,4.808436
Halo_R_16399.csv,6.698402
Halo_R_13978.csv,3.876776
Halo_R_05665.csv,7.583999
Halo_R_12039.csv,7.805460
Halo_R_02688.csv,5.141121
Halo_R_17314.csv,5.793005
Halo_R_06363.csv,6.211657
Halo_R_02073.csv,8.507452
Halo_R_01097.csv,6.551761
Halo_R_05383.csv,6.711186
Halo_R_01710.csv,3.181257
Halo_R_02912.csv,7.047240
Halo_R_10974.csv,7.062794
Halo_R_24554.csv,4.760252
Halo_R_04752.csv,7.243125
Halo_R_19965.csv,2.883142
Halo_R_05102.csv,8.618500
Halo_R_04446.csv,6.566330
Halo_R_26239.csv,5.062111
Halo_R_08369.csv,8.696912
Halo_R_28877.csv,7.126225
Halo_R_29159.csv,5.822215
Halo_R_25906.csv,6.294267
Halo_R_00300.csv,5.725257
Halo_R_12394.csv,8.689261
Halo_R_03943.csv,6.946656
Halo_R_00692.csv,6.638989
Halo_R_28889.csv,9.404098
Halo_R_15963.csv,9.068887
Halo_R_10332.csv,4.018706
Halo_R_22848.csv,6.440195
Halo_R_17025.csv,8.178367
Halo_R_14017.csv,5.186405
Halo_R_05752.csv,5.899360
Halo_R_01610.csv,7.421695
Halo_R_11748.csv,5.027142
Halo_R_12611.csv,4.851743
Halo_R_11440.csv,7.385505
Halo_R_19870.csv,9.080331
Halo_R_09466.csv,5.962818
Halo_R_10211.csv,6.845765
Halo_R_16794.csv,5.633640
Halo_R_12041.csv,9.867679
Halo_R_03785.csv,6.674136
Halo_R_11745.csv,8.492163
Halo_R_01749.csv,8.295422
Halo_R_22279.csv,6.376705
Halo_R_24727.csv,6.489758
Halo_R_25460.csv,7.337105
Halo_R_00944.csv,5.716451
Halo_R_07388.csv,5.214383
Halo_R_04559.csv,6.731494
Halo_R_27572.csv,4.971936
Halo_R_25636.csv,4.570648
Halo_R_13841.csv,11.784619
Halo_R_11868.csv,5.533361
Halo_R_07010.csv,5.120738
Halo_R_24758.csv,6.487641
Halo_R_24247.csv,7.538520
Halo_R_27767.csv,4.801040
Halo_R_22840.csv,6.435030
Halo_R_19622.csv,6.055082
Halo_R_03065.csv,7.763084
Halo_R_08615.csv,6.981112
Halo_R_22638.csv,8.080342
Halo_R_03582.csv,6.537051
Halo_R_20195.csv,11.028194
Halo_R_19307.csv,5.870500
Halo_R_23599.csv,5.687522
Halo_R_10066.csv,6.126895
Halo_R_14258.csv,7.521947
Halo_R_26134.csv,7.352463
Halo_R_03115.csv,5.344031
Halo_R_09153.csv,4.404665
Halo_R_08836.csv,6.179492
Halo_R_19065.csv,5.327155
Halo_R_18969.csv,6.298354
Halo_R_27932.csv,7.290783
Halo_R_25531.csv,5.826154
Halo_R_08131.csv,5.906368
Halo_R_23750.csv,6.550492
Halo_R_24472.csv,7.166556
Halo_R_21926.csv,6.564341
Halo_R_21770.csv,7.829966
Halo_R_31175.csv,6.945003
Halo_R_05820.csv,7.989864
Halo_R_19217.csv,7.067270
Halo_R_01030.csv,8.210349
Halo_R_00926.csv,6.443902
Halo_R_09819.csv,5.631586
Halo_R_08402.csv,5.979869
Halo_R_03386.csv,5.258282
Halo_R_19922.csv,7.481632
Halo_R_03766.csv,6.464174
Halo_R_24752.csv,4.427079
Halo_R_03448.csv,4.337332
Halo_R_08563.csv,4.388814
Halo_R_21172.csv,4.372070
Halo_R_24578.csv,9.273768
Halo_R_18574.csv,6.251654
Halo_R_02791.csv,5.141396
Halo_R_29598.csv,3.820663
Halo_R_00199.csv,6.952693
Halo_R_17821.csv,4.567652
Halo_R_25052.csv,6.596717
Halo_R_04607.csv,8.770572
Halo_R_27042.csv,6.102225
Halo_R_19615.csv,5.955623
Halo_R_25252.csv,8.762509
Halo_R_01040.csv,5.907015
Halo_R_02551.csv,6.501966
Halo_R_16798.csv,4.189733
Halo_R_05482.csv,3.413089
Halo_R_28962.csv,4.258707
Halo_R_25139.csv,6.649666
Halo_R_24292.csv,5.898407
Halo_R_29985.csv,6.436364
Halo_R_06553.csv,7.822045
Halo_R_01048.csv,5.682391
Halo_R_13087.csv,6.074778
Halo_R_08300.csv,8.012577
Halo_R_07995.csv,4.040439
Halo_R_07744.csv,5.743298
Halo_R_02637.csv,8.946064
Halo_R_06489.csv,7.088135
Halo_R_13979.csv,6.191576
Halo_R_23740.csv,8.306514
Halo_R_28904.csv,8.256262
Halo_R_24154.csv,2.568602
Halo_R_06507.csv,9.862412
Halo_R_29797.csv,6.975224
Halo_R_14218.csv,6.622790
Halo_R_12965.csv,5.807755
Halo_R_10090.csv,6.575085
Halo_R_28030.csv,6.344423
Halo_R_14370.csv,7.208958
Halo_R_15174.csv,5.127236
Halo_R_19904.csv,2.807798
Halo_R_27403.csv,7.942232
Halo_R_27969.csv,5.962291
Halo_R_29103.csv,5.083623
Halo_R_13455.csv,5.561407
Halo_R_12434.csv,6.548807
