# Id,x_center,y_center,z_center,c,c_max,c_min,r_vir,n_vir,n_tot
85001597781,363.410300,456.747700,865.734100,10.415359,11.998237,8.856611,0.502491,263,264
85001598364,360.055000,510.460700,849.325700,12.381816,14.652725,10.124282,0.374823,263,264
85001603577,362.911300,443.595100,839.863000,10.008715,11.843467,8.182158,0.413470,262,263
85001603578,357.805000,479.088500,841.434900,27.726422,907.831846,8.394460,0.331777,262,263
85001603579,358.268500,436.871600,844.487100,17.463630,20.236467,14.633517,0.420661,262,263
85001603584,368.207600,465.376400,872.238300,23.361246,29.300308,17.577753,0.448179,262,263
85001603585,348.708800,458.256400,897.961400,23.355196,29.766215,17.023770,0.421750,262,263
85001603586,354.969500,490.466300,873.324500,9.245505,10.830268,7.622681,0.293146,262,263
85001604131,396.781000,458.862200,895.843400,14.761292,18.892899,10.626329,0.405304,262,263
85001604132,393.056000,472.134500,876.855700,16.600269,19.248079,14.006190,0.331457,262,263
85001604135,423.580100,481.112100,872.159300,129.609012,204.639435,55.926159,0.643068,262,263
85001608842,347.210200,498.007100,840.863300,12.819740,22.032644,3.979488,0.324531,261,262
85001609325,375.255200,478.885600,879.026700,18.182539,20.768856,15.626914,0.399400,261,262
85001609970,338.298800,501.062600,899.225900,14.262109,18.434406,10.104853,0.344418,261,262
85001609984,383.959400,511.496000,841.805800,12.188253,14.967435,9.341416,0.533385,261,262
85001615843,342.078900,513.006700,882.967800,9.152003,15.010634,3.520107,0.409014,260,261
85001615846,354.889500,502.652600,866.111100,32.651239,38.378044,26.938030,0.476900,260,261
85001621160,417.839300,473.815600,841.518700,22.517691,26.846951,18.164209,0.377980,259,260
85001621797,402.093300,433.524000,860.632600,13.512796,15.718277,11.336368,0.389432,259,260
85001621798,427.073000,460.042900,885.447200,19.837581,24.855238,14.673295,0.301145,259,260
85001621799,428.631700,421.912600,901.568100,18.319097,23.106800,13.566192,0.470407,259,260
85001621801,377.599500,462.597900,918.717800,26.941967,32.681057,21.264905,0.464693,259,260
85001621907,430.185800,518.269900,822.304800,9.355575,10.590323,8.098988,0.380503,259,260
85001627183,355.102800,480.525400,829.716800,33.839726,76.270545,9.629987,0.383547,258,259
85001627189,372.986200,454.179000,871.469700,19.513867,24.387710,14.499231,0.322360,258,259
85001627745,378.716900,432.386200,900.325900,12.791728,14.511370,11.105782,0.380813,258,259
85001627746,377.725600,474.219100,900.759200,8.264622,9.394180,7.165864,0.359646,258,259
85001627752,421.046100,422.396100,880.448600,16.900177,20.913144,12.796852,0.309408,258,259
85001627816,360.477700,502.152800,825.426900,45.425918,10335802658.033442,9.542789,0.647292,258,259
85001627828,386.864300,509.779100,836.980000,32.399671,39.201113,25.411698,0.477419,258,259
85001633209,375.088600,448.529300,888.463900,26.470104,35.835757,17.312677,0.416050,257,258
85001633784,377.185900,477.713900,879.149700,16.828622,19.472056,14.236587,0.393896,257,258
85001633785,392.197900,491.531600,872.030300,14.308405,17.926018,10.611806,0.305087,257,258
85001633788,422.714300,455.169600,916.067000,31.951266,52.647782,11.331630,0.386063,257,258
85001639421,352.822800,429.503900,845.228700,8.231938,9.453375,6.989845,0.306410,256,257
85001639425,354.767800,475.181000,889.539700,17.358875,25.726778,9.123087,0.612329,256,257
85001640005,386.599700,428.155200,862.510600,19.240675,26.138282,12.162378,0.437161,256,257
85001640006,417.336900,472.848000,864.789700,59.759233,93.500646,25.090478,0.416896,256,257
85001640094,332.866400,508.917000,832.566400,24.672487,29.888880,19.367872,0.338417,256,257
85001645569,380.245800,463.079000,837.225300,32.860724,48.800482,17.217300,0.377807,255,256
85001645629,365.410900,451.961900,873.774000,13.173400,15.917880,10.386195,0.377540,255,256
85001645630,362.114400,485.166700,897.406200,21.077635,26.365416,15.820607,0.388593,255,256
85001645631,373.955700,485.021500,879.315400,38.119655,60.267485,15.847823,0.523963,255,256
85001646287,343.295700,516.354700,854.816000,16.982000,23.796798,10.251112,0.367334,255,256
85001646288,344.118000,514.259700,838.320200,6.410505,7.582073,5.204867,0.290056,255,256
85001646289,371.719600,502.242500,906.186900,10.779929,13.427073,8.166965,0.340854,255,256
85001651785,378.184400,457.339000,824.116600,19.527734,22.462518,16.615508,0.405804,254,255
85001651852,362.844200,444.061900,840.381400,15.857201,19.327253,12.331279,0.368886,254,255
85001651853,366.830600,431.076400,845.211800,31.244138,43.798537,18.687140,0.406840,254,255
85001651854,350.436900,479.562400,849.799400,121.031124,273.698157,10.000000,0.501114,254,255
85001651858,349.155000,440.237200,870.040800,39.410067,67.206846,11.634481,0.409627,254,255
85001652446,402.424300,474.273400,900.596100,10.993809,12.870006,9.073936,0.342207,254,255
85001652447,388.692100,480.617200,873.202300,8.297362,9.967148,6.648836,0.380908,254,255
85001652448,396.596200,484.470700,887.950000,15.352273,17.319833,13.439284,0.411368,254,255
85001652449,382.760600,431.564700,861.094100,70.816467,4234.586487,9.511009,0.443871,254,255
85001652450,398.867200,445.318700,857.476800,18.967504,22.916812,14.952106,0.379928,254,255
85001652453,377.119300,432.976600,916.134500,71.817135,109.618579,33.505507,0.420024,254,255
85001652536,370.679800,501.208200,905.553900,41.262930,64.051385,18.403657,0.391248,254,255
85001658047,400.448000,441.496500,851.898700,24.961189,33.463016,16.385270,0.335409,253,254
85001658134,369.645300,434.664600,856.149200,14.118404,18.121757,10.090684,0.281661,253,254
85001658781,358.892800,509.084700,869.793700,6.980797,7.905816,6.079040,0.279370,253,254
85001664379,361.879500,476.253300,841.906200,27.817219,32.967041,22.692312,0.728434,252,253
85001664380,345.521000,487.555800,846.694600,9.672263,12.214034,7.125204,0.318117,252,253
85001664384,349.696700,481.783500,872.875100,20.534633,24.753567,16.342509,0.322426,252,253
85001664387,418.979300,493.835900,895.850400,38.476350,45.930070,31.122526,0.434146,252,253
85001664976,416.788200,445.084300,869.842900,14.260572,16.121971,12.433502,0.454986,252,253
85001665053,374.334700,503.143900,907.509500,4.689040,5.392344,3.973059,0.285395,252,253
85001670780,334.525800,457.315600,836.787400,36.641014,47.456863,26.039793,0.556138,251,252
85001670785,372.441400,434.965100,900.086900,12.169413,13.960266,10.405674,0.339312,251,252
