haloID,c_low,c_mid,c_high,n_particles,virial_r
00000,9.77508797975,9.99211785145,10.1512877847,23734,207.11499608
00001,8.82768330568,9.07855960263,9.4877204026,467,207.11499608
00002,9.67881064744,9.94467145902,10.2625564348,11622,207.11499608
00003,8.55511130391,8.75815716066,8.95489283335,325,207.11499608
00004,9.14987600766,9.40241954835,9.68848587988,2141,207.11499608
00005,9.47470005266,9.87309770558,10.3288238879,330,207.11499608
00006,9.61809494099,10.1488668611,10.62953177,651,207.11499608
00007,9.18909028254,9.48900546339,9.75282134989,4513,207.11499608
00008,9.46173110581,9.63930689267,9.84873605709,2953,207.11499608
00009,7.27565045779,7.47633931283,7.68613117616,796,207.11499608
00010,9.55962496236,9.73133704909,9.91173700317,5749,207.11499608
00011,9.84534969157,10.05481517,10.2566293672,1718,207.11499608
00012,9.70499106127,9.92736600852,10.1034484249,8444,207.11499608
00013,9.38440454647,9.57277821725,9.77714299565,8081,207.11499608
00014,9.38202713433,9.56945661975,9.75754078272,2390,207.11499608
00015,9.48941711232,9.80250188205,10.037322785,8620,207.11499608
00016,9.64831395442,9.85303650453,10.0965631558,4273,207.11499608
00017,9.13984525183,9.35123066108,9.56762927815,2502,207.11499608
00018,9.99866472137,10.2383236535,10.4637522984,6667,207.11499608
00019,10.4207734992,10.6016214806,10.8804579525,571,207.11499608
00020,9.23069959335,9.44201589784,9.63473200742,4129,207.11499608
00021,8.9967251638,9.24987418882,9.46476846246,3815,207.11499608
00022,9.50268644962,9.77891290448,10.0738144394,1455,207.11499608
00023,11.8467253512,12.1647737747,12.4260954458,513,207.11499608
00024,9.25891649023,9.48188631331,9.7530116686,1236,207.11499608
00025,9.621888007,9.81103622159,9.94341833199,12644,207.11499608
00026,9.92946452421,10.0138167366,10.1952936572,18856,207.11499608
00027,9.78326477086,9.93789430444,10.1102595404,7106,207.11499608
00028,9.15844609282,9.37282120175,9.56234270526,1040,207.11499608
00029,7.78588411449,8.03733629342,8.28389910176,306,207.11499608
00030,10.9321600246,11.3538050993,11.818959982,893,207.11499608
00031,9.12113989297,9.3154674281,9.47802865776,14500,207.11499608
00032,9.45447451154,9.75314377868,10.0981423788,477,207.11499608
00033,9.71755636797,9.88716142943,10.0585450815,21228,207.11499608
00034,9.59279935282,9.73636845367,9.8652861374,13188,207.11499608
00035,9.99470721817,10.200606499,10.3833128234,1883,207.11499608
00036,9.01584939778,9.26167386349,9.3580860124,1180,207.11499608
00037,9.20096735747,9.57096938659,9.98751068164,339,207.11499608
00038,9.38191628734,9.48945717794,9.75460856983,1542,207.11499608
00039,9.2144303424,9.51239601,9.87326035146,2194,207.11499608
00040,9.14834095015,9.39934653959,9.63684866004,3125,207.11499608
00041,9.36085965962,9.59867445223,9.7898290585,7556,207.11499608
00042,10.2290420014,10.5996304122,11.0575097889,1079,207.11499608
00043,8.88308843961,9.07669898198,9.24978001539,6330,207.11499608
00044,7.56524894482,7.74214952756,8.06726618455,323,207.11499608
00045,9.07602729029,9.43176859711,9.71490154023,2013,207.11499608
00046,9.49304028812,9.76215017566,10.0090036038,7172,207.11499608
00047,9.21033665217,9.45371557968,9.60920852915,17657,207.11499608
00048,9.28862392492,9.49119370636,9.62120248809,1869,207.11499608
00049,9.70986996111,9.87926808388,10.1004070854,1523,207.11499608
00050,9.51165731818,9.7500656005,10.0637193384,1890,207.11499608
00051,9.30832372378,9.5776077537,9.89560985427,516,207.11499608
00052,9.64047186934,9.93762655415,10.2886104827,214,207.11499608
00053,9.320743643,9.48614937591,9.67300137924,3886,207.11499608
00054,9.559612606,9.75054627102,9.95861416632,3193,207.11499608
00055,9.48736542859,9.78628481443,9.9947301806,728,207.11499608
00056,8.70479838458,8.96243974714,9.2628378648,358,207.11499608
00057,10.6004249985,10.9878314498,11.3468465757,537,207.11499608
00058,10.4053088525,10.7356938477,11.0652969513,1463,207.11499608
00059,9.78801739847,10.147224738,10.544230258,1181,207.11499608
00060,9.44300940273,9.64178247521,9.87107984673,23445,207.11499608
00061,9.65264912311,9.90077059266,10.0943130898,1741,207.11499608
00062,8.70196795464,8.94272360015,9.18235408589,1340,207.11499608
00063,9.05584853937,9.31013075134,9.61420709304,271,207.11499608
00064,11.0280680177,11.5967460929,11.9620015154,346,207.11499608
00065,9.52471100479,9.75346511324,10.0240883157,6629,207.11499608
00066,9.16233637904,9.39640111554,9.61788481466,744,207.11499608
00067,9.56906898391,9.80015104971,10.0480481532,14580,207.11499608
00068,9.20307960363,9.50253459827,9.77775072919,1807,207.11499608
00069,9.57254339182,9.78350104808,9.95896009234,13121,207.11499608
00070,9.92011913559,10.1410893113,10.3585084214,5229,207.11499608
00071,9.51981864704,9.76430672378,9.97140799014,11171,207.11499608
00072,9.22889781499,9.39942587144,9.58661995114,12969,207.11499608
00073,10.4573395493,10.8895961859,11.3652130757,1642,207.11499608
00074,8.14746066376,8.37941969794,8.64262908701,518,207.11499608
00075,8.41272165868,8.58178156615,8.72219132418,1463,207.11499608
00076,10.0562914719,10.3198164799,10.5952303426,1223,207.11499608
00077,9.33465961063,9.5860948892,9.88596638545,4680,207.11499608
00078,9.40513208283,9.56494030329,9.76464802713,17592,207.11499608
00079,8.67524006945,8.9746814458,9.16066170568,636,207.11499608
00080,9.74158882204,9.98889680815,10.2746848786,7064,207.11499608
00081,9.6150786395,9.84253391343,10.0334683461,3994,207.11499608
00082,9.91574989548,10.1629993863,10.362375497,1690,207.11499608
00083,9.06143781861,9.28274489482,9.55400584312,508,207.11499608
00084,8.90570154342,9.24556796061,9.59690664752,1344,207.11499608
00085,7.69487228308,7.91413019208,8.08426560674,936,207.11499608
00086,10.3628101934,10.7496221212,11.1046723435,1930,207.11499608
