#Id,x_center,y_center,z_center,c_bdmv,c_bdmv_max,c_bdmv_min,c_bdmw,c_bdmw_max,c_bdmw_min,r_vir_bdmv,r_vir_bdmw,n_vir_bdmv,n_vir_bdmw,n_tot
85006190732,532.597700,485.460400,521.232400,3.058517,4.061759,2.056837,3.581594,4.698230,2.453526,0.156363,0.114131,50,32,61
85006786838,499.775400,539.024400,524.268800,3.065398,4.157641,1.977364,1.816959,3.051970,0.605499,0.154265,0.110498,47,35,55
85004493686,456.706700,456.229800,458.856600,12.408313,13.873184,10.961192,9.846998,11.587250,8.154674,0.183901,0.134243,84,70,87
85006786966,471.119400,453.436500,533.312800,6.374338,7.281377,5.488035,4.245418,5.285706,3.198486,0.151179,0.119645,48,43,55
85000468979,458.527500,545.589300,454.750400,6.725333,7.249100,6.189533,4.823330,5.524837,4.132397,0.374617,0.276404,681,555,915
85008367363,507.769300,478.008100,481.588000,1.389970,2.486462,0.433100,9.547575,45.651040,9.547575,0.117367,0.059129,20,4,43
85007129684,491.601700,533.198400,450.804800,5.435351,6.324507,4.561378,4.330590,5.433082,3.223313,0.159610,0.113412,46,40,52
85004181772,478.168400,450.561600,526.521400,3.850658,4.774327,2.945441,2.502806,3.528763,1.452313,0.186653,0.136530,84,66,94
85005614842,470.176800,504.719100,464.192700,3.733892,4.713401,2.780666,2.730988,3.718674,1.720764,0.149277,0.115851,46,42,68
85006486361,455.603600,464.116400,517.037300,9.234749,10.599520,7.843450,7.517589,8.417431,6.598698,0.160203,0.118038,52,42,58
85001057274,490.841200,460.775800,480.716300,8.984973,9.465956,8.497715,6.289672,6.947843,5.639346,0.312151,0.232831,381,336,405
85004913553,486.457900,535.703700,548.371200,4.682449,5.611038,3.765646,2.962950,3.907972,1.999922,0.168833,0.121847,62,48,79
85001748338,537.322600,544.774700,524.007800,8.101011,8.621104,7.574062,5.676800,6.354053,4.981133,0.263025,0.196576,232,203,240
85008522025,500.672600,484.011900,510.427000,3.314158,4.283474,2.369055,2.624647,3.816436,1.826749,0.132816,0.111350,40,37,42
85002280440,506.602200,468.039800,451.949900,6.367511,7.009491,5.716858,4.396729,5.231801,3.565522,0.242377,0.179439,175,153,181
85005689514,532.726400,467.097600,511.853500,5.047387,6.454376,3.605654,4.120417,4.997952,3.229628,0.155771,0.118347,47,39,67
85004101506,491.605600,503.744500,493.214000,17.576474,20.367916,14.716450,12.345545,14.273667,10.457894,0.163240,0.124549,55,46,96
85004541679,466.662400,474.261000,471.627100,8.215069,9.325899,7.122686,6.176890,7.104613,5.242454,0.182077,0.136632,78,64,86
85004488400,489.785600,540.455400,515.368800,3.147100,4.137973,2.145612,2.012502,3.066655,0.961890,0.174319,0.124508,59,52,87
85005697900,504.904300,486.034700,468.871400,3.775619,4.653438,2.888554,2.112695,3.139669,1.227669,0.169218,0.129063,60,53,67
85001858935,549.088900,513.712600,523.745900,6.458390,7.098913,5.815595,4.373821,5.179818,3.580928,0.246466,0.185096,189,163,225
85005938000,471.446600,470.884800,455.456400,3.237787,4.201451,2.290943,1.422688,2.550510,0.724391,0.155894,0.109156,47,34,64
85001356702,487.737000,477.109500,461.731900,20.461986,22.489105,18.451855,14.620006,15.701008,13.510515,0.282189,0.216237,295,276,313
85003245369,547.625400,543.178600,541.290400,6.420266,7.163046,5.695534,4.468426,5.341978,3.572450,0.209844,0.162753,122,113,124
85007789825,537.432400,544.848400,522.870800,2.423990,4.230903,1.381168,1.875954,3.129889,0.691584,0.145649,0.099568,39,26,47
85008074274,525.267100,493.097800,519.557700,15.197605,21.062510,9.319282,11.408366,17.020518,6.370878,0.127240,0.089378,24,19,45
85001551397,473.626800,454.442700,492.547800,5.180252,5.981708,4.373631,3.733779,4.571826,2.886366,0.268466,0.198992,253,207,272
85004351949,549.003700,453.686600,515.615700,5.172543,5.930049,4.394197,3.873173,4.842611,2.896527,0.182362,0.133171,77,61,90
85003951168,464.585600,548.696700,479.393900,7.061817,7.790422,6.330937,4.447298,5.272981,3.640176,0.190948,0.146114,89,81,100
85002403918,454.976300,512.857800,470.223800,13.822203,15.134504,12.536573,9.765301,10.592688,8.952996,0.224639,0.166852,145,128,171
85004437060,454.312600,478.935600,451.034700,11.500588,13.434496,9.558721,6.010434,6.744048,5.284105,0.174853,0.143282,71,69,88
85002280437,516.854900,453.028400,502.685700,4.782849,5.531774,4.017484,3.142379,4.044602,2.225668,0.231705,0.171022,162,133,181
85000033787,502.391700,492.677600,472.631300,6.092726,6.583426,5.638416,4.170026,4.881872,3.808716,0.786975,0.584179,6311,5313,8432
85007261702,547.915700,487.173300,466.758100,4.143536,5.029231,3.250219,3.234398,4.495413,1.946023,0.153768,0.117581,49,41,51
85000470080,463.720900,459.572000,520.961400,9.559514,9.957015,9.152985,6.373120,6.911340,5.840915,0.395210,0.300205,795,721,913
85001195046,491.629700,505.039000,459.628300,9.465361,10.032286,8.894715,7.361278,7.951758,6.787705,0.289702,0.219271,328,281,357
85001211628,481.373900,476.438300,480.964100,6.986794,7.513330,6.460491,4.422087,5.150263,3.684565,0.298468,0.229993,349,324,352
85007127510,453.276500,511.308300,489.004700,4.278822,5.145581,3.412072,2.804217,3.751122,1.851606,0.153274,0.113699,45,38,52
