#npart f_downsample c_low c_med c_up c_vel
246 1000.0 7.54791183084 7.63306207703 7.76341915868 8.19372491754
246 1000.0 6.61335847919 6.6911578384 6.78718903392 8.70662596914
246 1000.0 6.3214405414 6.4160548868 6.48964502829 8.65394266825
246 1000.0 9.1813547772 9.28868295755 9.42348917647 10.2181696778
246 1000.0 4.66575884375 4.73431863628 4.78199473877 4.97013673622
246 1000.0 7.51383389338 7.60264504515 7.68873528031 8.86227935912
246 1000.0 8.57179502547 8.67743628433 8.80104589739 8.55233005899
246 1000.0 10.6597373478 10.7842384563 10.8980354924 10.8110662974
246 1000.0 5.90675015454 5.98668055166 6.05700640725 6.97392637661
246 1000.0 9.28468692877 9.41593115095 9.54721777057 10.3863452821
246 1000.0 7.747089668 7.83420000984 7.93453433911 8.6649296739
246 1000.0 8.09858128514 8.19280944486 8.27847266148 9.07387423145
246 1000.0 10.1667021013 10.309780395 10.41199833 13.3884829417
246 1000.0 7.84459011719 8.0006227689 8.09005830418 9.21753934073
246 1000.0 6.58120060411 6.66739647802 6.73575371343 8.11426174581
246 1000.0 6.17962624624 6.24108864225 6.33074470807 7.50440857392
246 1000.0 8.67757436562 8.78866234049 8.93826831956 9.98775087051
246 1000.0 7.73502651894 7.86066740403 7.9606434804 7.42817861716
246 1000.0 6.26064623445 6.32579963778 6.40594120199 7.09035430867
246 1000.0 5.55649445894 5.61159752994 5.68567355103 6.76818033303
246 1000.0 11.2594929864 11.411284453 11.5523462542 13.3155570031
246 1000.0 9.51371118036 9.61704904235 9.7403059855 11.2816379341
246 1000.0 5.95916250234 6.04160613538 6.12747709706 6.56689538085
246 1000.0 6.64507830953 6.7335406644 6.80815506452 7.17463715653
246 1000.0 7.58199231242 7.71540318974 7.85106846695 8.51152450459
246 1000.0 8.48310973712 8.59442836645 8.68478932036 9.14871241604
246 1000.0 10.7141316723 10.8244045778 10.9553369856 11.9218401414
246 1000.0 10.9061174573 11.0860521738 11.2474778238 10.9204603029
246 1000.0 6.44797797351 6.52362637787 6.61054447187 8.21804903212
246 1000.0 7.62624524381 7.74290966349 7.83775764414 8.4884865749
246 1000.0 9.63744656615 9.77380581311 9.93610828185 10.2244559726
246 1000.0 9.39685739209 9.5839220234 9.7158064078 9.3434779866
246 1000.0 7.96177437577 8.03784853349 8.13651504739 9.20139284437
246 1000.0 7.33855512311 7.41623766916 7.48184332523 9.80877077563
246 1000.0 7.82140703313 7.93392692312 8.04189559029 8.90819219531
246 1000.0 6.21256679129 6.29924142619 6.37508764451 6.47411904502
246 1000.0 7.43195721307 7.52539771763 7.62516514903 11.8692978388
246 1000.0 6.94086177134 7.03193081691 7.12564307656 8.39518888885
246 1000.0 9.03533316189 9.13276001574 9.23524582016 12.3024235615
