#OK
#SQL= select * from miniMDR1..BDMW as m where m.snapnum = 85 order by np desc
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2014-05-27 10:56:09.315 CEST
#QUERYTIME 465 millisec
#COLUMN 1 name=bdmId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=NInCat JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 4 name=hostFlag JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 5 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 10 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 11 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 12 name=Mvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 13 name=Mtot JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 14 name=Rvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 15 name=Vrms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 16 name=Vcir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 17 name=conc JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 18 name=Xoff JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 19 name=virialRatio JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 20 name=spin JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 21 name=Rrms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 22 name=axisratio_2_1 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 23 name=axisratio_3_1 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 24 name=axis1_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 25 name=axis1_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 26 name=axis1_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 27 name=ix JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 28 name=iy JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 29 name=iz JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 30 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
bdmId,snapnum,NInCat,hostFlag,x,y,z,vx,vy,vz,np,Mvir,Mtot,Rvir,Vrms,Vcir,conc,Xoff,virialRatio,spin,Rrms,axisratio_2_1,axisratio_3_1,axis1_x,axis1_y,axis1_z,ix,iy,iz,phkey
8511534533,85,11534533,-1,388.6058,512.3774,901.2289,-249.62,-729.28,77.44,16557,1.436E14,1.48999999E14,0.8616,922.4,869.7,3.737,0.0211,0.2113,0.0139,0.4919,0.5003,0.42,0.6233,0.7756,-0.0997,397,524,922,806559515
8511528681,85,11528681,-1,363.8119,447.2896,879.6894,345.28,147.94,-792.58,15154,1.31400003E14,1.40899992E14,0.8473,989.0,893.1,6.049,0.0602,0.349,0.0388,0.434,0.7188,0.5461,0.1166,0.7298,-0.6737,372,458,900,994156184
8511529258,85,11529258,-1,393.1166,469.2359,883.9093,-627.89,-408.73,-659.05,14838,1.28700004E14,1.33599999E14,0.8281,900.2,860.3,4.651,0.021,0.1858,0.0873,0.453,0.7335,0.5735,0.4448,0.4349,-0.783,402,480,905,994033209
8511505651,85,11505651,8511505113,374.3568,431.8408,857.2419,891.79,7.93,847.2,14163,1.22800002E14,2.00200002E14,0.8845,964.1,832.0,5.478,0.0511,0.5125,0.0264,0.4733,0.7556,0.6628,0.791,-0.2546,0.5563,383,442,877,997232420
8511507692,85,11507692,-1,385.1125,461.8724,864.6116,-119.24,393.05,882.85,12732,1.10400004E14,1.14500003E14,0.787,895.6,815.7,4.568,0.0597,0.2788,0.0206,0.438,0.5276,0.4625,0.6088,0.6044,0.5138,394,472,885,991135981
8511637955,85,11637955,-1,423.7133,502.63,900.1675,-473.04,-435.16,32.7,12699,1.10100002E14,1.155E14,0.792,910.6,856.9,6.54,0.0261,0.2589,0.0313,0.4138,0.6857,0.6609,0.9481,0.0473,-0.3145,433,514,921,806413242
8511515147,85,11515147,-1,340.9392,504.2645,863.9109,-5.79,-360.8,99.82,11470,9.947E13,1.02099996E14,0.7623,888.2,844.6,7.203,0.0231,0.2604,0.026,0.4005,0.6836,0.6555,0.2132,0.0052,0.977,349,516,884,809757543
8511526502,85,11526502,-1,381.5157,490.0215,883.6252,-369.95,-1169.44,-405.24,10494,9.0999997E13,1.04600003E14,0.7681,849.5,741.2,4.152,0.0626,0.4185,0.0573,0.4312,0.7802,0.3977,7.0E-4,0.6099,0.7925,390,501,904,994047791
8511526457,85,11526457,-1,381.9334,465.1333,874.2202,858.85,1046.37,-1197.97,10473,9.0820003E13,1.03400004E14,0.7654,798.5,773.6,5.686,0.0841,0.2006,0.0645,0.4142,0.7611,0.5658,0.6459,0.7279,-0.23,391,476,895,991133942
8511518671,85,11518671,-1,383.4538,479.2047,875.442,247.7,-1556.69,107.61,10305,8.9369998E13,9.1199998E13,0.7342,816.4,795.1,6.23,0.0544,0.1595,0.0151,0.3899,0.8296,0.6115,0.1375,0.7829,0.6068,392,490,896,994034862
8511538402,85,11538402,-1,387.6335,471.4078,903.6776,69.4,-191.04,-516.78,9962,8.6390004E13,9.096E13,0.7336,781.1,716.5,2.817,0.0627,0.2694,0.062,0.4284,0.6265,0.4765,0.8646,-0.3769,0.3324,396,482,925,994039199
8511527459,85,11527459,-1,377.9867,489.0483,880.9803,340.91,-902.49,-180.29,9835,8.5289997E13,8.7180001E13,0.723,786.1,750.0,4.666,0.0898,0.1579,0.0426,0.3915,0.707,0.5132,-0.4434,0.4109,0.7966,387,500,902,994048131
8511514607,85,11514607,-1,366.4671,472.2089,870.5269,676.28,-402.77,6.13,9560,8.2899999E13,8.3310001E13,0.7123,793.1,766.3,5.697,0.0323,0.168,0.0109,0.3734,0.9415,0.6578,0.5557,0.6648,0.4992,375,483,891,996977625
8511501460,85,11501460,-1,392.6477,458.3906,859.5396,-539.18,382.83,987.77,9021,7.8230002E13,8.074E13,0.7049,808.9,788.3,7.672,0.0235,0.2008,0.0125,0.3613,0.9271,0.7306,0.8782,-0.4282,-0.2129,402,469,880,991148141
8511516335,85,11516335,-1,385.7917,470.1996,873.3278,492.92,-2121.93,739.81,8854,7.6779998E13,8.1179999E13,0.4786,932.6,866.4,4.321,0.0195,0.2777,0.0093,0.2646,0.6886,0.5749,0.4805,-0.2802,0.8311,395,481,894,991133124
8511542801,85,11542801,-1,364.0991,502.8024,914.1014,179.22,-286.41,-47.02,8497,7.3690004E13,8.1020003E13,0.7058,754.9,688.5,3.746,0.1021,0.2883,0.0121,0.3987,0.6799,0.4579,-0.3734,0.5688,0.7329,372,514,936,809465720
8511526394,85,11526394,-1,366.6159,421.2259,883.2868,416.2,364.13,-248.15,8373,7.2610004E13,8.3449998E13,0.7127,813.5,710.5,5.363,0.0472,0.4958,0.0414,0.3867,0.6662,0.5977,0.0215,0.8428,0.5378,375,431,904,994908160
8511496184,85,11496184,-1,366.507,474.9693,844.5284,-105.46,-334.5,410.34,8365,7.2540001E13,7.4450003E13,0.6862,721.8,705.3,4.423,0.0279,0.14,0.0346,0.3758,0.5485,0.5474,0.9843,0.0773,0.159,375,486,864,996981937
8511501213,85,11501213,-1,394.4547,470.4541,855.9169,-386.43,-37.46,733.3,8360,7.2499996E13,7.7089999E13,0.694,778.1,707.2,4.743,0.0656,0.318,0.0695,0.3846,0.8392,0.7015,-0.2426,-0.4895,0.8376,403,481,876,991115880
8511517265,85,11517265,-1,363.2125,461.6424,873.2134,45.97,-635.17,130.13,8256,7.1599999E13,7.4619998E13,0.6866,757.1,710.2,4.928,0.0407,0.2398,0.0769,0.3722,0.9894,0.7741,-0.1458,0.9653,-0.2165,371,472,894,997152087
8511500367,85,11500367,-1,342.3416,513.7788,837.4022,-71.73,-530.75,-118.67,7864,6.82E13,7.503E13,0.6879,742.6,678.9,4.202,0.0308,0.269,0.0366,0.3814,0.6308,0.5176,0.671,0.4651,0.5775,350,526,857,809714181
8511535394,85,11535394,-1,378.7157,432.4347,901.5677,80.1,177.31,-208.2,7807,6.7700001E13,6.9389999E13,0.6701,739.6,700.9,5.023,0.0273,0.2041,0.0328,0.3633,0.6407,0.6161,0.1248,0.9638,-0.2356,387,442,923,993165722
8511517498,85,11517498,8511517616,359.6443,460.8401,873.6136,1586.2,-41.24,-57.23,7693,6.6720002E13,1.00999998E14,0.5496,843.8,763.3,4.789,0.0439,0.3947,0.0585,0.2983,0.8741,0.7613,0.9835,0.1642,-0.0753,368,471,894,997153463
8511645500,85,11645500,-1,411.1931,466.6978,917.3221,-237.52,-436.1,-411.66,7525,6.5259998E13,7.2899998E13,0.6812,764.0,695.4,5.703,0.0736,0.2936,0.0637,0.3595,0.7163,0.5099,-0.4075,-0.1001,0.9077,421,477,939,993866797
8511503760,85,11503760,-1,384.2916,513.0096,841.5542,-409.67,-538.46,81.75,7193,6.238E13,6.3280001E13,0.6498,742.1,713.9,6.643,0.0229,0.205,0.0179,0.3402,0.6463,0.631,0.0925,0.7513,-0.6535,393,525,861,812457507
