#rvir/Mpc     Mvir/1.0e10Msun  rs/Mpc   dc/IU     
1.870256 151907.609375	1.42882872 	  22255.01757812 
1.286574 49458.535156	0.35247654 	 138401.71875000 
1.228910 43100.925781	0.28846776 	 188155.75000000 
1.116616 32331.363281	0.38948900 	  83063.77343750 
1.082564 29470.875000	0.56622881 	  37932.49218750 
1.013455 24181.587891	0.23902290 	 191151.12500000 
0.966324 20961.794922	0.21621680 	 210707.70312500 
0.997977 23083.615234	0.19249682 	 301836.93750000 
0.914270 17754.210938	0.22115171 	 174508.68750000 
0.841226 13825.401367	0.17294399 	 266481.50000000 
0.904965 17215.253906	0.21620907 	 179961.93750000 
0.860580 14803.897461	0.23128150 	 141108.10937500 
0.729439 9018.385742	0.10895661 	 531294.12500000 
0.684492 7452.094238	0.16929512 	 168488.15625000 
0.788691 11393.986328	0.15582402 	 278966.71875000 
0.790698 11489.916992	0.12591219 	 456043.81250000 
0.828770 13225.396484	0.16628052 	 267530.50000000 
0.763507 10339.617188	0.25577670 	  88839.71093750 
0.688335 7584.653809	0.26513788 	  65380.25781250 
0.689602 7622.153809	0.14684777 	 232968.10937500 
0.682556 7389.303223	0.15970692 	 192265.20312500 
0.661138 6708.193359	0.12706052 	 300516.68750000 
0.701193 8007.622070	0.19786188 	 124518.03906250 
0.677797 7233.197266	0.16236679 	 183635.96875000 
0.728016 8968.676758	0.20738126 	 122066.76562500 
0.571569 4342.186035	0.15974949 	 127823.32031250 
0.756697 10069.266602	0.11154611 	 557785.56250000 
0.707394 8226.519531	0.19524246 	 132821.62500000 
0.718110 8604.138672	0.14574191 	 262770.40625000 
0.699582 7959.656738	0.08979869 	 761203.87500000 
0.576055 4448.582031	0.11857805 	 255392.23437500 
0.708718 8270.996094	0.11179579 	 471838.40625000 
0.623376 5632.894043	0.20346102 	  90332.82812500 
0.465129 2343.332764	0.09602667 	 251317.32812500 
0.612055 5328.530762	0.08998346 	 551188.50000000 
0.684204 7442.501465	0.14875387 	 224934.29687500 
0.665086 6838.136230	0.13146740 	 281215.25000000 
0.513825 3157.001953	0.09614868 	 319751.34375000 
0.649869 6380.283691	0.12767698 	 282069.50000000 
0.631109 5840.453613	0.11237790 	 350175.50000000 
0.447933 2088.679443	0.11872410 	 149811.98437500 
0.634771 5932.896484	0.14642222 	 192816.71875000 
0.645164 6248.596680	0.09415266 	 565030.62500000 
0.611238 5316.321777	0.09951684 	 434904.56250000 
0.533771 3545.958496	0.08078831 	 522051.06250000 
0.623571 5633.766113	0.09861277 	 466612.40625000 
0.597993 4971.842285	0.10175401 	 398441.31250000 
0.616299 5453.241211	0.09503610 	 491915.46875000 
0.584017 4627.362793	0.19213715 	  92476.81250000 
0.597765 4969.225586	0.20465671 	  84193.80468750 
0.569585 4295.964355	0.12070802 	 244027.70312500 
0.597301 4952.655762	0.26458925 	  49611.57421875 
0.586111 4678.816406	0.07275628 	 853546.12500000 
0.580291 4544.513184	0.11630692 	 273560.43750000 
0.568611 4288.115723	0.09240788 	 448228.96875000 
0.596547 4936.085938	0.20136605 	  89162.72656250 
0.599982 5023.295898	0.09786583 	 440236.84375000 
0.548777 3840.728271	0.11317363 	 247858.65625000 
0.493073 2789.847900	0.08444015 	 384517.75000000 
0.578139 4488.698730	0.11980527 	 253928.73437500 
0.492107 2770.661621	0.06237900 	 799206.87500000 
0.547403 3818.053711	0.09040219 	 417471.43750000 
0.567638 4255.848145	0.12065881 	 238307.10937500 
0.457285 2233.447998	0.08256209 	 353230.40625000 
0.566667 4227.940918	0.09100135 	 452484.09375000 
0.581881 4577.652832	0.08078440 	 647141.18750000 
0.525445 3368.922363	0.18533424 	  79797.10937500 
0.580242 4545.385254	0.14684886 	 167595.12500000 
0.482443 2612.811523	0.15791704 	  89113.96093750 
0.408033 1576.756836	0.05046916 	 856590.93750000 
0.505842 3007.872803	0.11127568 	 219314.10937500 
0.550350 3875.612305	0.13312314 	 177350.32812500 
0.521208 3291.305420	0.14371361 	 135254.20312500 
0.537872 3619.215088	0.16455972 	 104272.01562500 
0.531308 3491.016357	0.19112042 	  75446.67187500 
0.551472 3912.240479	0.11844521 	 230526.26562500 
0.549618 3857.298340	0.13843131 	 161356.93750000 
0.548458 3837.239990	0.16893467 	 102702.20312500 
0.518471 3238.979492	0.16037668 	 105740.81250000 
0.545000 3765.727783	0.07384460 	 670452.06250000 
0.464007 2328.507080	0.06784778 	 569836.37500000 
0.519784 3279.968018	0.09566914 	 339338.96875000 
0.472460 2454.089355	0.06935744 	 556780.06250000 
0.526310 3388.980469	0.10023548 	 303952.12500000 
0.486867 2679.091309	0.07315248 	 522259.96875000 
0.458190 2240.424805	0.10841160 	 189394.04687500 
0.520055 3284.328613	0.11630539 	 216187.25000000 
0.528178 3427.353027	0.11668223 	 218967.23437500 
0.501142 2933.744385	0.19191648 	  66162.46875000 
0.529725 3451.771729	0.13589764 	 156046.90625000 
0.518144 3230.258301	0.20284720 	  65363.67968750 
0.514369 3170.955566	0.07258601 	 624142.12500000 
0.458215 2234.320068	0.08649381 	 316319.93750000 
0.510888 3113.396973	0.10817532 	 242611.53125000 
0.535665 3594.796143	0.16775961 	 103937.56250000 
0.519906 3277.351807	0.11366963 	 228579.26562500 
0.520075 3272.119141	0.06673272 	 795695.18750000 
0.468328 2391.298096	0.31852967 	  21509.76953125 
0.447264 2079.958496	0.14823154 	  90841.76562500 
0.513109 3139.560059	0.05416996 	1280526.37500000 
0.465381 2343.332764	0.12239191 	 145131.67187500 
0.472651 2456.705566	0.09851921 	 241977.95312500 
0.401317 1500.884033	0.06032462 	 546279.37500000 
0.507420 3039.268555	0.14305863 	 128087.99218750 
0.487966 2703.510010	0.12755847 	 151328.48437500 
0.511092 3106.420166	0.08807698 	 385019.34375000 
0.398505 1476.465332	0.08238401 	 255819.62500000 
0.467003 2372.112061	0.08197471 	 371848.43750000 
0.492773 2795.080566	0.06882763 	 637595.37500000 
0.476108 2508.159668	0.10196006 	 228610.90625000 
0.473592 2475.019775	0.05662115 	 914530.68750000 
0.501390 2933.744385	0.06217463 	 849782.50000000 
0.499179 2887.523193	0.20709802 	  55705.47265625 
0.492779 2786.359375	0.25773087 	  35102.96484375 
0.452942 2157.575439	0.08352042 	 327597.46875000 
0.499020 2893.627686	0.07497989 	 531285.75000000 
0.351862 1007.275513	0.08741883 	 173777.18750000 
0.483494 2618.916260	0.07897735 	 433219.87500000 
0.485124 2655.544434	0.06763820 	 626158.00000000 
0.474193 2483.740723	0.18613221 	  61638.97656250 
0.469075 2404.379639	0.12967262 	 132007.56250000 
0.490359 2742.754395	0.05856217 	 919778.68750000 
0.440293 1986.643799	0.06590663 	 539471.68750000 
0.394385 1427.627686	0.13633218 	  83338.85156250 
0.483267 2627.637207	0.07174288 	 544420.37500000 
0.484359 2651.184082	0.12774676 	 151157.54687500 
0.472789 2456.705566	0.05988637 	 795878.50000000 
0.456187 2210.773438	0.13647704 	 114607.15625000 
0.472383 2454.089355	0.06323286 	 694503.87500000 
0.394842 1432.860352	0.10222784 	 155387.53125000 
0.480696 2586.648682	0.14993335 	 102423.10156250 
0.453832 2172.401123	0.08600434 	 315941.68750000 
0.453087 2163.680176	0.11507909 	 165575.29687500 
0.420698 1738.967407	0.06264850 	 537285.81250000 
0.433013 1882.863892	0.06559280 	 517997.78125000 
0.477326 2529.090088	0.07430780 	 494411.75000000 
0.405519 1552.338013	0.08248533 	 267652.81250000 
0.420091 1723.269531	0.13172074 	  98628.51562500 
0.445313 2054.667480	0.06342462 	 606697.75000000 
0.448101 2098.272705	0.07405941 	 428765.15625000 
0.471052 2433.158936	0.06623425 	 616069.31250000 
0.444305 2039.841919	0.07968236 	 352017.84375000 
0.451956 2147.982178	0.07573228 	 422775.37500000 
0.423167 1761.641968	0.08901199 	 242284.75000000 
0.438752 1970.073853	0.07159986 	 439370.34375000 
0.460330 2279.669434	0.08181921 	 364241.43750000 
0.454390 2183.738281	0.29541004 	  23867.86914062 
0.421711 1750.304688	0.07664233 	 337885.96875000 
0.428719 1837.514648	0.23975730 	  31900.30468750 
0.434514 1907.282715	0.09816690 	 204849.34375000 
0.439867 1977.922729	0.13248283 	 109348.78125000 
0.442022 2007.574219	0.13571978 	 104575.55468750 
0.460835 2291.878906	0.07296837 	 493989.87500000 
0.462778 2319.785889	0.05087683 	1136094.00000000 
0.403586 1531.407593	0.05025233 	 853548.31250000 
0.430735 1868.910278	0.08315301 	 297526.34375000 
0.447218 2081.702637	0.06382815 	 605893.31250000 
0.451996 2145.365967	0.09506735 	 246013.04687500 
0.428386 1831.410034	0.12020995 	 125521.72656250 
0.459425 2254.378418	0.21053182 	  47422.83593750 
0.434291 1905.538452	0.10081213 	 193846.87500000 
0.422800 1756.409424	0.07763577 	 322547.18750000 
0.427460 1815.712158	0.15889014 	  69539.44531250 
0.415164 1667.455200	0.09956723 	 181267.78125000 
0.439818 1977.922729	0.06436649 	 568285.87500000 
0.426944 1817.456421	0.16528296 	  65054.50000000 
0.438944 1969.201782	0.09469004 	 228763.78125000 
0.449801 2116.586670	0.07701111 	 397044.06250000 
0.363686 1119.776367	0.06900567 	 310135.03125000 
0.442136 2011.062622	0.06269956 	 621029.31250000 
0.396564 1450.302246	0.09089722 	 203199.67187500 
0.429767 1851.468262	0.06359638 	 548453.81250000 
0.420765 1739.839478	0.13693160 	  91839.31250000 
0.329252 834.599670	0.03820591 	 981391.50000000 
0.428909 1837.514648	0.06728397 	 481975.71875000 
0.298895 620.063110	0.06740174 	 209622.75000000 
0.431506 1869.782349	0.06908074 	 464727.06250000 
0.437468 1945.655029	0.09083461 	 251479.40625000 
0.438184 1964.841309	0.06570368 	 537305.37500000 
0.429846 1845.363647	0.05836939 	 674731.37500000 
0.396589 1452.918579	0.05061417 	 812788.25000000 
0.438277 1965.713379	0.05895961 	 700577.81250000 
0.416462 1686.641357	0.06908012 	 426419.06250000 
0.423172 1765.130371	0.07631442 	 341362.15625000 
0.416847 1685.769287	0.07609574 	 337446.09375000 
0.422005 1748.560547	0.09720578 	 194486.65625000 
0.425660 1800.014404	0.06303591 	 558259.06250000 
0.422188 1755.537231	0.08111331 	 297656.75000000 
0.425457 1794.781738	0.04511388 	1249291.00000000 
0.425467 1803.502808	0.06378486 	 529301.37500000 
0.428150 1821.816895	0.04872429 	1046156.37500000 
0.349894 1003.787109	0.08787145 	 168397.51562500 
0.410636 1625.594360	0.03991304 	1545888.87500000 
0.391504 1396.232056	0.05817277 	 559381.00000000 
0.407822 1580.245239	0.05180221 	 791298.87500000 
0.371537 1194.776978	0.06555776 	 360115.31250000 
0.416266 1677.920410	0.05512723 	 721993.56250000 
0.393784 1414.546143	0.05964367 	 533707.93750000 
0.325723 806.692505	0.07421020 	 197339.39062500 
0.356718 1057.857300	0.05541011 	 486251.96875000 
0.408583 1592.454590	0.05209217 	 808163.06250000 
0.404344 1542.744873	0.17265551 	  53790.57421875 
0.409478 1602.919800	0.09890294 	 179520.46875000 
0.408060 1580.245239	0.06353386 	 485625.78125000 
0.416985 1692.746094	0.10951672 	 150436.01562500 
0.392400 1411.929932	0.14476646 	  73197.22656250 
0.385631 1336.929321	0.07822891 	 265799.28125000 
0.405938 1554.954346	0.04609304 	1035574.18750000 
0.404695 1541.000732	0.06383598 	 479424.84375000 
0.395767 1443.325439	0.06824537 	 388546.84375000 
0.391685 1397.976318	0.04916150 	 824828.93750000 
0.389753 1377.917969	0.06124061 	 483656.46875000 
0.369133 1174.718750	0.05587294 	 526270.37500000 
0.391311 1405.825195	0.05624292 	 605190.62500000 
0.402491 1523.558716	0.06353398 	 479630.50000000 
0.342095 932.274902	0.07676479 	 212062.31250000 
0.381552 1299.428955	0.06423518 	 397917.93750000 
0.407023 1575.012573	0.06264570 	 511896.06250000 
0.354108 1034.310547	0.07320235 	 252655.01562500 
0.394164 1420.650879	0.08709103 	 222867.42187500 
0.406126 1564.547363	0.15717798 	  66537.67968750 
0.357929 1067.450439	0.14831351 	  56252.65625000 
0.400129 1493.035156	0.11419480 	 127387.92968750 
0.317772 750.005981	0.05474019 	 380896.56250000 
0.382224 1301.173218	0.05058396 	 710753.87500000 
0.386546 1346.522339	0.10820738 	 129956.44531250 
0.284267 536.341492	0.03025232 	1218497.00000000 
0.394446 1437.220825	0.06572727 	 429551.71875000 
0.385820 1331.696655	0.05053718 	 734388.31250000 
0.401346 1509.605103	0.05253198 	 768644.12500000 
0.365083 1131.985840	0.06723448 	 325808.53125000 
0.399934 1488.674683	0.11618086 	 125231.80468750 
0.343098 942.740112	0.05841774 	 398207.37500000 
0.379009 1268.033447	0.09089604 	 178184.18750000 
0.389809 1383.150635	0.04706207 	 905147.68750000 
0.396272 1453.790649	0.04562309 	1034532.37500000 
0.386875 1346.522339	0.03717829 	1591912.50000000 
0.392691 1414.546143	0.05416275 	 655222.56250000 
0.390247 1393.615845	0.06366995 	 452172.68750000 
0.384828 1327.336182	0.04535787 	 961863.00000000 
0.390778 1391.871582	0.05232476 	 724690.37500000 
0.384992 1332.568848	0.05098903 	 729219.00000000 
0.388940 1369.197021	0.06055651 	 492675.75000000 
0.317912 750.005981	0.05157206 	 439463.43750000 
0.317730 749.133911	0.07263196 	 197633.42187500 
0.323807 792.738892	0.09743920 	 108556.87500000 
0.384690 1328.208252	0.12149262 	 100920.43750000 
0.338851 906.111877	0.05760130 	 401886.18750000 
0.348832 989.833496	0.07719116 	 224127.18750000 
0.338687 910.472412	0.05442682 	 459290.06250000 
0.363710 1131.113647	0.05488020 	 541972.81250000 
0.343285 942.740112	0.07369427 	 235998.04687500 
0.370881 1190.416504	0.05737592 	 489431.25000000 
0.376456 1245.358765	0.04884279 	 750906.68750000 
0.369337 1172.102417	0.07058249 	 298652.62500000 
0.333661 865.123169	0.05796990 	 378547.18750000 
0.335661 877.332581	0.14869559 	  49001.26953125 
0.363073 1112.799561	0.04417429 	 883766.18750000 
0.366401 1141.578857	0.04147984 	1048414.31250000 
0.384253 1320.359375	0.04372997 	1034688.75000000 
0.358254 1073.555054	0.06734433 	 315069.56250000 
0.380989 1302.917358	0.05256395 	 666934.81250000 
0.362111 1112.799561	0.04796986 	 716903.00000000 
0.374586 1237.509888	0.03170025 	2231587.75000000 
0.342814 935.763306	0.10072722 	 115532.53906250 
0.367886 1158.148804	0.04884625 	 712219.43750000 
0.356246 1052.624634	0.05260332 	 566766.37500000 
0.366018 1149.427734	0.07766718 	 243013.20312500 
0.339787 911.344482	0.08371559 	 174024.81250000 
0.324845 800.587769	0.10830478 	  91266.42187500 
0.351080 1010.763916	0.13653514 	  65646.98437500 
0.348786 995.938171	0.06405162 	 348263.06250000 
0.350107 1001.170776	0.08515603 	 179796.31250000 
0.307572 679.365906	0.05775316 	 317880.21875000 
0.346638 969.775208	0.06603649 	 308987.06250000 
0.379448 1282.859131	0.02464829 	4459877.00000000 
0.365068 1135.474243	0.04793336 	 741496.93750000 
0.329930 843.320679	0.05085631 	 517852.06250000 
0.359056 1084.892334	0.04321092 	 901104.75000000 
0.294661 596.516418	0.06651004 	 208614.57812500 
0.349273 989.833496	0.08009837 	 202025.70312500 
0.355551 1049.136353	0.03918563 	1146689.25000000 
0.361812 1111.055420	0.07170428 	 283558.21875000 
0.340414 923.553894	0.05359722 	 490381.68750000 
0.356491 1059.601440	0.03972388 	1103709.50000000 
0.360664 1097.101807	0.06617667 	 341027.21875000 
0.364135 1125.881104	0.04159254 	1056144.00000000 
0.360147 1088.380737	0.05400448 	 537581.31250000 
0.344401 956.693726	0.10882699 	 100631.50000000 
0.352302 1017.740723	0.06297694 	 359156.37500000 
0.368390 1168.614014	0.03819506 	1332612.00000000 
0.361485 1105.822754	0.10037650 	 132592.29687500 
0.345774 974.135681	0.08984387 	 159193.01562500 
0.350448 1008.147583	0.07139674 	 272469.43750000 
0.341318 927.914368	0.05890756 	 392435.62500000 
0.349643 995.938171	0.06206806 	 368207.00000000 
0.358323 1073.555054	0.04606035 	 775748.93750000 
0.328350 822.390320	0.09635810 	 115551.78125000 
0.325646 806.692505	0.04011747 	 870328.43750000 
0.333758 865.123169	0.12524094 	  68820.21093750 
0.343427 945.356384	0.06692374 	 295781.87500000 
0.354068 1034.310547	0.05147536 	 589654.37500000 
0.351568 1015.124390	0.05108151 	 590554.68750000 
0.333803 870.355774	0.05030209 	 534173.18750000 
0.345199 973.263611	0.04722441 	 675695.37500000 
0.300731 639.249268	0.07218979 	 183510.98437500 
0.316507 743.901306	0.07334529 	 196895.84375000 
0.337072 891.286194	0.14427914 	  52834.00000000 
0.357457 1068.322510	0.04472573 	 833137.12500000 
0.323339 788.378418	0.06158922 	 300027.81250000 
0.337962 903.495605	0.05363252 	 478575.34375000 
0.342735 947.100586	0.08934297 	 153109.81250000 
0.337711 902.623474	0.04436131 	 751847.37500000 
0.353387 1029.950073	0.05670181 	 471885.06250000 
0.349570 1002.042908	0.05052419 	 606330.18750000 
0.345430 962.798401	0.04184944 	 910931.62500000 
0.317921 750.878113	0.07237978 	 200839.20312500 
0.334979 889.541992	0.05901279 	 377826.06250000 
0.341828 922.681824	0.07059658 	 252845.28125000 
0.355108 1062.217773	0.12021223 	  89064.43750000 
0.300160 640.121399	0.07099971 	 189435.18750000 
0.351635 1019.484924	0.03775272 	1243844.62500000 
0.327280 816.285583	0.06830082 	 249243.40625000 
0.348108 982.856689	0.05846733 	 421601.90625000 
0.358876 1091.869141	0.04763311 	 757278.37500000 
0.250355 361.049408	0.03565427 	 605413.56250000 
0.357705 1063.962036	0.05902284 	 439197.78125000 
0.276425 493.608612	0.11431347 	  55160.44140625 
0.271391 472.678192	0.06666766 	 177968.90625000 
0.299828 634.016724	0.04928426 	 442308.03125000 
0.332441 869.483704	0.08665305 	 151574.29687500 
0.347436 977.624084	0.04066012 	1011683.12500000 
0.336365 891.286194	0.06960917 	 256246.82812500 
0.338784 907.856079	0.12339667 	  73764.63281250 
0.348520 1002.042908	0.04447270 	 821115.12500000 
0.292474 587.795410	0.04272576 	 584032.12500000 
0.330571 851.169617	0.04447069 	 706756.18750000 
0.344885 961.054199	0.05139141 	 557344.87500000 
0.321829 783.145813	0.06136963 	 304504.25000000 
0.326945 810.180908	0.06045181 	 311932.21875000 
0.326752 809.308777	0.03167921 	1568556.87500000 
0.343238 945.356384	0.04185653 	 909435.50000000 
0.345021 996.810303	0.08054920 	 214335.06250000 
0.337984 900.879272	0.04124562 	 895655.62500000 
0.322973 784.017883	0.04579422 	 621946.93750000 
0.318916 760.471191	0.04355390 	 670748.00000000 
0.289442 566.864990	0.04676820 	 451432.00000000 
0.320317 772.680603	0.04398472 	 682081.25000000 
0.334218 887.797791	0.06336938 	 313527.34375000 
0.344080 936.635376	0.04995847 	 588911.18750000 
0.329198 828.494995	0.06111734 	 321728.31250000 
0.332234 855.530090	0.12900050 	  64897.71875000 
0.325961 813.669312	0.07607298 	 192839.87500000 
0.308744 687.214783	0.07515005 	 182445.07812500 
0.341146 922.681824	0.04610550 	 695035.81250000 
0.323471 787.506287	0.05814203 	 342613.90625000 
0.314409 725.587219	0.04422371 	 623043.12500000 
0.298497 620.935181	0.04616896 	 516610.59375000 
0.319600 760.471191	0.07491934 	 192571.07812500 
0.316556 736.924500	0.07865193 	 167598.68750000 
0.314835 724.715088	0.04386096 	 639263.50000000 
0.316998 743.029175	0.03289734 	1334431.75000000 
0.316234 740.412903	0.04157511 	 727719.12500000 
0.238307 318.316498	0.04949680 	 257032.90625000 
0.334289 882.565186	0.03878607 	1014151.00000000 
0.315720 735.180298	0.39857641 	   7238.26660156 
0.335564 886.925720	0.02725042 	2446131.75000000 
0.251018 369.770386	0.11379869 	  45331.94921875 
0.342082 944.484314	0.05661442 	 441865.78125000 
0.319678 752.622314	0.03581294 	1078950.75000000 
0.335255 886.053589	0.05120501 	 526806.62500000 
0.322492 782.273682	0.05348308 	 418704.15625000 
0.325223 805.820374	0.03654007 	1101751.00000000 
0.324499 793.611023	0.04798771 	 539083.12500000 
0.311577 704.656799	0.05252876 	 419764.15625000 
0.325679 799.715698	0.06207924 	 302702.93750000 
0.307483 676.749573	0.15422237 	  39036.71484375 
0.289946 570.353394	0.04118421 	 612132.50000000 
0.333191 873.844177	0.03919886 	 988680.37500000 
0.320586 764.831726	0.06255870 	 283460.46875000 
0.260479 415.119598	0.04210212 	 449729.62500000 
0.320119 766.575867	0.04514563 	 623320.50000000 
0.331889 858.146423	0.03278721 	1450837.00000000 
0.329695 841.576477	0.02874304 	2081452.50000000 
0.319610 770.064270	0.05216834 	 443735.90625000 
0.291015 576.458069	0.04059134 	 644268.43750000 
0.276117 495.352783	0.03197886 	1033025.00000000 
0.252129 374.130890	0.05101014 	 270428.31250000 
0.255932 393.317108	0.04470482 	 384980.50000000 
0.315172 730.819824	0.17546499 	  31862.28710938 
0.303914 655.819214	0.05012803 	 443917.93750000 
0.322468 781.401611	0.07150199 	 226187.87500000 
0.331118 848.553284	0.04433675 	 712502.43750000 
0.330530 854.658020	0.05292125 	 460982.75000000 
0.328980 829.367065	0.04381881 	 718799.12500000 
0.247553 361.049408	0.05186431 	 254628.59375000 
0.326164 812.797180	0.04445454 	 671882.87500000 
0.312361 719.482483	0.04832324 	 513894.65625000 
0.302689 647.098206	0.05170385 	 408834.65625000 
0.328043 828.494995	0.03832374 	1002796.31250000 
0.315555 731.691895	0.09255890 	 115237.50000000 
0.332020 856.402222	0.04726128 	 606578.37500000 
0.322429 786.634216	0.03835883 	 933231.31250000 
0.326878 831.983398	0.05194689 	 482515.65625000 
0.306309 668.028625	0.05913899 	 301160.65625000 
0.305882 669.772827	0.05210467 	 402283.40625000 
0.325667 813.669312	0.04792881 	 560777.43750000 
0.292622 584.307007	0.08986041 	 102473.01562500 
0.286706 552.039307	0.04840284 	 397799.81250000 
0.259788 401.165985	0.07219416 	 132381.59375000 
0.319618 762.215393	0.05089616 	 463629.62500000 
0.299784 635.760925	0.06742878 	 213906.18750000 
0.316498 736.052368	0.05044857 	 477642.03125000 
0.321758 776.169006	0.05203916 	 440561.87500000 
0.313269 721.226685	0.05097898 	 456915.62500000 
0.316996 743.901306	0.05593135 	 373201.09375000 
0.322907 789.250488	0.05520439 	 394417.84375000 
0.292404 588.667480	0.07431316 	 161006.51562500 
0.309213 691.575317	0.07542107 	 179594.68750000 
0.311728 713.377808	0.08242325 	 151684.29687500 
0.234583 307.851288	0.06928439 	 122874.80468750 
0.319414 762.215393	0.08323625 	 148198.32812500 
0.282264 534.597290	0.06712429 	 187314.34375000 
0.318237 751.750183	0.03986525 	 856433.56250000 
0.324426 797.971497	0.03701711 	1060370.87500000 
0.297161 612.214172	0.08637869 	 119115.11718750 
0.319621 782.273682	0.04968029 	 503673.56250000 
0.291086 585.179077	0.05205365 	 360740.84375000 
0.297699 610.469971	0.04815073 	 441495.43750000 
0.234976 306.979187	0.25334767 	   9575.73730469 
0.298189 618.318909	0.09965128 	  86882.75781250 
0.263119 432.561584	0.03600975 	 702116.37500000 
0.290188 567.737122	0.05930393 	 267457.90625000 
0.265385 430.817383	0.08001058 	 111047.07031250 
0.285051 540.702026	0.04228726 	 551909.50000000 
0.322172 777.041077	0.05513258 	 382593.09375000 
0.318035 750.878113	0.07285285 	 205624.62500000 
0.327765 823.262390	0.05116517 	 496628.40625000 
0.316319 750.878113	0.05709879 	 357281.96875000 
0.313135 715.122009	0.05215273 	 429575.56250000 
0.318516 756.110718	0.03664830 	1060922.12500000 
0.250513 374.130890	0.15417418 	  25167.21875000 
0.324866 794.483093	0.09999125 	 109178.85156250 
0.319951 769.192200	0.04608842 	 609897.62500000 
0.304933 665.412292	0.04543960 	 565245.93750000 
0.313287 715.994080	0.04112955 	 757492.81250000 
0.262048 424.712708	0.03206266 	 873078.56250000 
0.308659 695.063721	0.05726412 	 337308.46875000 
0.316139 736.052368	0.04698215 	 544815.37500000 
0.306321 678.493774	0.03960532 	 794529.62500000 
0.296160 612.214172	0.08268095 	 131351.89062500 
0.303341 647.098206	0.05711834 	 319470.37500000 
0.301690 642.737671	0.05393621 	 363861.34375000 
0.315997 737.796570	0.04264348 	 700346.18750000 
0.257880 398.549713	0.06022565 	 190618.10937500 
0.261324 415.119598	0.09998535 	  63813.14062500 
0.292660 589.539612	0.06437855 	 222905.95312500 
0.299216 628.784119	0.04564705 	 524559.25000000 
0.317265 745.645508	0.03390033 	1212891.87500000 
0.308483 679.365906	0.04923179 	 472154.06250000 
0.308219 695.063721	0.04681868 	 536089.56250000 
0.282403 525.004211	0.09461354 	  85585.50000000 
0.309509 690.703186	0.05483145 	 372747.06250000 
0.308339 686.342712	0.04366027 	 650829.00000000 
0.305074 663.668091	0.05444730 	 362667.03125000 
0.287685 559.016113	0.05093638 	 358926.28125000 
0.316595 743.029175	0.04134261 	 768855.00000000 
0.311000 702.040466	0.04358856 	 639361.25000000 
0.294053 608.725769	0.04235461 	 608244.93750000 
0.309275 691.575317	0.06160048 	 284169.84375000 
0.301394 648.842407	0.06113142 	 278371.81250000 
0.290271 569.481323	0.07219610 	 165629.93750000 
0.310564 702.040466	0.04925565 	 466780.06250000 
0.288389 557.271912	0.05600579 	 293006.31250000 
0.291506 586.923279	0.05286753 	 372968.59375000 
0.297512 616.574707	0.04314970 	 591169.12500000 
0.264583 431.689484	0.08539364 	  94096.32031250 
0.292066 580.818604	0.07234104 	 169542.17187500 
0.318030 753.494385	0.03380807 	1257184.62500000 
0.302813 648.842407	0.10218282 	  88877.03125000 
0.315110 736.924500	0.08304811 	 148786.09375000 
0.314926 729.075623	0.04059442 	 788835.87500000 
0.293681 592.155884	0.03556560 	 911564.37500000 
0.303552 654.075012	0.06803592 	 207542.35937500 
0.307785 681.982178	0.06249380 	 269592.12500000 
0.289692 572.097595	0.04272925 	 571621.12500000 
0.252990 378.491394	0.04833947 	 300538.15625000 
0.312539 713.377808	0.03440906 	1159487.37500000 
0.300343 633.144592	0.04519858 	 540291.00000000 
0.261072 422.096405	0.03051113 	1018324.93750000 
0.304701 661.923889	0.07417916 	 177996.31250000 
0.305290 665.412292	0.06516391 	 247475.93750000 
0.312205 709.017273	0.06772327 	 234132.20312500 
0.306841 683.726379	0.05437135 	 374300.78125000 
0.312581 713.377808	0.03576279 	1052913.37500000 
0.299589 633.144592	0.03932877 	 737202.43750000 
0.302282 652.330811	0.03327549 	1192807.25000000 
0.297159 611.342102	0.09014955 	 111764.77343750 
