# Id,x_center,y_center,z_center,c,f(c),r_vir,n_vir,n_tot
85009408343,333.282000,515.911600,867.789200,7.314617,0.000000,0.101154,36,37
85009408344,332.604900,517.109600,896.749400,8.043732,0.000000,0.103833,32,37
85009408356,335.067100,498.765200,876.988300,4.486291,0.000000,0.100457,27,37
85009408357,336.839400,502.481000,859.537300,12.146451,-0.000000,0.100643,28,37
85009408358,338.744700,498.913100,822.733400,4.279549,0.000000,0.104481,26,37
85009408359,345.351700,498.550400,839.392600,5.385415,0.000000,0.089158,19,37
85009408361,361.677900,500.809300,828.441200,3.671411,-0.000000,0.077454,13,37
85009408362,360.032800,502.556700,824.146400,2.328737,0.000000,0.069845,9,37
85009408374,344.405700,500.471500,874.506800,4.937824,0.000000,0.103974,30,37
85009408375,351.515300,499.332400,871.444000,8.335143,0.000000,0.105710,34,37
85009408376,355.845600,500.982000,863.985000,7.234732,0.000000,0.100067,22,37
85009408484,352.719100,517.103600,902.355200,12.069642,0.000000,0.110035,31,37
85009408690,399.392600,503.303500,917.440100,8.779670,-0.000000,0.101937,31,37
85009408692,430.036000,513.469600,905.492700,2.588712,0.000000,0.095164,24,37
85009408698,382.180100,501.493600,904.892000,22.546853,0.000000,0.105587,28,37
85009408728,379.760900,509.466500,911.341400,7.503338,0.000000,0.110182,35,37
85009408746,385.443100,510.413100,903.486800,6.635920,-0.000000,0.104089,29,37
85009408842,421.030400,507.151000,856.397900,21.896081,0.000000,0.106656,29,37
85009408868,411.946800,497.564700,856.513700,2.794276,0.000000,0.102099,28,37
85009408870,384.403900,496.153100,869.153900,11.807395,0.000000,0.106240,33,37
85009408871,383.959400,514.097800,840.825300,11.743895,-0.000000,0.493498,36,37
85009408876,391.720600,517.602400,854.823300,4.264745,0.000000,0.097056,21,37
85009408877,403.459700,516.545300,867.620700,7.834741,0.000000,0.094311,20,37
85009408884,402.303700,516.749100,892.049400,5.402110,-0.000000,0.099132,26,37
85009408888,391.034000,509.528900,836.647600,3.369224,0.000000,0.091430,21,37
85009408891,411.276200,513.140300,889.141500,14.113968,0.000000,0.101401,30,37
85009408893,416.676800,516.801600,859.207900,13.024662,0.000000,0.093875,23,37
85009408899,416.247800,512.476100,863.611000,14.723603,0.000000,0.112523,30,37
85009408939,424.277000,506.947100,879.739900,11.328028,0.000000,0.097730,24,37
85009408947,422.788700,496.420800,894.780300,2.328737,0.000000,0.064875,4,37
85009545790,375.667900,464.678700,840.511100,4.134267,-0.000000,0.101132,23,36
85009545794,383.971900,452.135000,858.129500,7.068489,0.000000,0.070456,5,36
85009545795,375.206100,430.550500,858.882800,5.134638,-0.000000,0.074523,10,36
85009545796,376.867400,429.574300,858.171300,2.328737,0.000000,0.051220,3,36
85009545797,399.777700,476.413000,848.512300,9.468814,0.000000,0.101763,27,36
85009545798,398.196100,473.719300,852.835200,11.992078,0.000000,0.098335,26,36
85009559999,383.987300,432.006000,821.020500,5.121873,0.000000,0.087819,15,36
85009560001,393.555400,458.563800,829.198100,4.432210,0.000000,0.094749,23,36
85009560002,393.615600,474.020700,831.235000,14.742540,0.000000,0.100428,29,36
85009560003,385.180600,470.478400,834.219500,11.012551,0.000000,0.094043,31,36
85009560004,386.745700,473.747700,834.915000,3.206844,-0.000000,0.096562,24,36
85009560005,406.315200,442.091300,839.566000,10.428312,0.000000,0.108500,29,36
85009560006,379.826800,440.079700,841.398600,5.158459,0.000000,0.087616,18,36
85009560007,399.189400,482.658900,842.231300,12.812935,-0.000000,0.102258,29,36
85009560008,385.928500,455.536500,849.121800,8.797522,0.000000,0.102999,24,36
85009560009,403.135300,441.633800,843.637900,44.844199,0.000000,0.118151,30,36
85009560010,402.129600,460.898200,848.434800,12.091716,0.000000,0.101266,28,36
85009560012,407.717100,474.366500,840.089900,9.246007,0.000000,0.103428,31,36
85009560014,406.988800,463.568600,845.962300,4.692016,0.000000,0.103244,33,36
85009560017,417.352500,435.691100,847.670300,12.224356,0.000000,0.120849,31,36
85009560018,416.077300,435.520900,841.683100,6.010999,0.000000,0.106967,30,36
85009560019,388.850900,491.242100,843.819500,4.435358,0.000000,0.107914,35,36
85009560026,417.863300,478.252600,840.451700,19.588465,-0.000000,0.080405,14,36
85009560140,419.637800,437.868300,824.006100,8.994068,0.000000,0.088725,20,36
85009560158,418.178700,478.056600,855.318400,4.739573,0.000000,0.099736,29,36
85009560159,420.500600,437.387100,855.773000,13.041509,0.000000,0.092375,21,36
85009561537,348.526900,499.236800,864.839700,5.975413,0.000000,0.107723,30,36
85009561933,366.642800,462.381800,823.120700,9.684522,-0.000000,0.098914,27,36
85009561934,360.295200,440.546200,820.401600,12.708997,0.000000,0.097814,27,36
85009561935,350.522900,474.853900,831.991100,3.294823,0.000000,0.063553,7,36
85009561936,354.379400,478.809100,831.237400,5.827320,0.000000,0.101253,29,36
85009561937,364.718700,473.225300,842.536100,4.323052,0.000000,0.056537,5,36
85009561938,352.840000,438.130000,831.621100,3.318209,0.000000,0.084218,17,36
85009561939,359.970600,445.475600,838.438200,7.755383,0.000000,0.073127,9,36
85009561941,359.618500,467.641000,843.703100,4.516626,0.000000,0.096747,27,36
85009561942,364.262600,475.385700,842.667700,20.766227,0.000000,0.103783,32,36
85009561943,335.966100,461.207700,842.874100,4.649435,0.000000,0.106495,30,36
85009561944,352.312600,485.554000,845.714500,8.096771,0.000000,0.106285,32,36
85009561945,362.538800,424.822000,849.134300,4.455067,0.000000,0.109689,35,36
85009561947,346.457200,448.611600,851.204000,4.925892,0.000000,0.107246,31,36
85009561948,344.765100,497.041200,827.463300,2.328737,0.000000,0.053793,4,36
85009561949,360.635000,495.247200,834.036000,20.140894,0.000000,0.093710,28,36
85009561950,367.468200,426.769000,850.560100,6.433696,-0.000000,0.101343,28,36
85009561951,368.798900,422.025500,832.111200,10.197394,-0.000000,0.113212,30,36
85009561958,333.141900,493.812200,842.812600,18.337980,0.000000,0.107876,31,36
85009561959,332.060300,495.541600,822.288900,4.002938,0.000000,0.102623,29,36
85009561971,344.601600,474.723200,859.820900,2.646787,0.000000,0.061076,6,36
85009561972,362.244000,421.946700,874.623800,9.543296,0.000000,0.099015,28,36
85009561976,366.360600,474.216700,856.972800,12.102361,0.000000,0.106504,29,36
85009561977,340.367200,463.322400,858.020600,2.736788,0.000000,0.093005,22,36
85009561992,353.184400,470.178200,852.755600,4.978465,0.000000,0.069277,7,36
85009562091,370.987000,450.511900,870.405200,14.154018,0.000000,0.114786,34,36
85009562092,344.928800,450.945800,868.231400,10.545732,0.000000,0.119016,35,36
85009562093,363.429400,473.409000,869.373600,3.488078,-0.000000,0.091034,18,36
85009562094,357.292200,440.161000,872.102500,10.487469,0.000000,0.106331,32,36
85009562095,357.736800,457.784200,874.771400,10.795415,0.000000,0.101125,29,36
85009562096,365.335700,461.590700,871.479700,29.212908,0.000000,0.095933,35,36
85009562097,353.061000,486.493800,874.839600,9.224426,0.000000,0.107606,31,36
85009562098,374.072000,437.010200,876.965500,5.073018,0.000000,0.095652,23,36
85009562099,352.276300,460.221500,877.186700,3.059089,0.000000,0.092921,20,36
85009562100,372.739000,446.116500,878.379500,8.153271,0.000000,0.106769,33,36
85009562101,370.172800,430.213500,884.407000,12.869467,0.000000,0.055089,3,36
85009562102,344.881200,472.611700,883.647600,4.414314,0.000000,0.095261,24,36
85009562103,339.338600,486.313600,885.925900,15.900474,0.000000,0.097056,25,36
85009562104,365.550600,427.047800,881.582600,8.525885,0.000000,0.096024,24,36
85009562105,355.930300,459.709100,881.234300,8.394481,0.000000,0.099250,25,36
85009562106,360.376000,438.325900,879.927800,2.328737,0.000000,0.081202,6,36
85009562107,348.099800,447.234400,887.028700,9.217990,0.000000,0.109194,33,36
85009562108,362.843900,447.947500,879.436500,5.633608,0.000000,0.084612,16,36
85009562109,357.467000,460.117900,886.897900,7.688002,0.000000,0.060289,6,36
85009562110,351.768800,470.076900,899.029100,9.816782,-0.000000,0.114498,33,36
85009562111,374.527700,459.659600,889.682300,10.711981,0.000000,0.103846,31,36
85009562112,372.457700,477.118900,870.562800,6.061784,0.000000,0.103353,31,36
85009562113,345.284400,440.004900,906.365700,3.962362,-0.000000,0.089825,19,36
85009562114,344.787100,483.376700,909.143000,8.243075,0.000000,0.278855,35,36
85009562115,367.334400,488.784400,903.771100,9.643095,0.000000,0.049942,3,36
85009562116,357.814900,486.706200,907.834300,6.572080,-0.000000,0.108613,32,36
85009562117,360.132000,453.868200,907.491400,7.297142,0.000000,0.098032,29,36
85009562118,358.906100,486.204500,874.993300,7.781973,0.000000,0.105744,35,36
85009562119,336.004300,490.682200,884.251500,3.694252,-0.000000,0.096263,28,36
85009562120,360.642200,489.027300,900.246600,7.353064,-0.000000,0.105089,29,36
85009562121,363.750200,489.507200,902.655900,15.668907,0.000000,0.115786,25,36
85009562122,340.377100,494.870500,879.847100,2.328737,0.000000,0.075823,8,36
85009562123,365.923600,484.835300,877.328400,3.836526,-0.000000,0.100358,26,36
85009562124,353.062200,494.298700,866.256300,10.161796,0.000000,0.088192,21,36
85009562125,366.326400,489.661200,875.805400,4.312499,0.000000,0.101839,28,36
85009562126,353.107100,492.693600,872.555600,6.881653,0.000000,0.112014,33,36
85009562127,362.934500,467.322200,913.032000,5.159300,0.000000,0.099762,28,36
85009562128,370.802700,422.733700,889.659100,11.042255,0.000000,0.095391,26,36
85009562129,354.984800,491.797500,865.121000,13.851217,0.000000,0.123836,33,36
85009562130,332.753400,483.050700,891.570400,5.573474,0.000000,0.095634,23,36
85009562140,366.534500,445.825600,916.083100,11.012523,0.000000,0.112447,34,36
85009562150,424.122900,504.091900,901.534300,6.635983,0.000000,0.101362,23,36
85009578112,381.352700,467.399300,874.250100,2.328737,0.000000,0.053962,4,36
85009578113,380.873400,465.582500,874.290000,10.541121,0.000000,0.058553,4,36
85009578114,387.027400,474.158100,874.778600,9.957486,-0.000000,0.099661,29,36
85009578115,376.915300,459.255400,869.224200,7.291736,0.000000,0.111339,29,36
85009578116,407.534500,434.448300,870.631500,4.160301,0.000000,0.103405,28,36
85009578117,401.931700,448.085400,872.997500,2.328737,0.000000,0.089306,19,36
85009578118,381.978900,444.068300,872.992400,8.156046,0.000000,0.102322,29,36
85009578119,412.309600,444.301000,872.231300,16.379626,0.000000,0.389549,35,36
85009578120,377.362900,428.473300,869.904200,13.593627,0.000000,0.111858,30,36
85009578121,382.583600,443.288200,875.561900,13.950730,0.000000,0.111307,30,36
85009578122,383.857800,456.281200,876.710300,3.301121,0.000000,0.091302,21,36
85009578123,385.683100,453.100300,878.780500,8.097059,0.000000,0.097201,19,36
85009578124,386.172000,451.460100,882.533500,7.694104,0.000000,0.058163,6,36
85009578125,385.980800,466.197400,878.394800,5.080322,0.000000,0.104306,31,36
85009578126,388.956600,464.047500,886.853300,6.790025,0.000000,0.099874,27,36
85009578127,382.392200,463.741700,878.474100,7.752845,-0.000000,0.115688,35,36
85009578128,392.789500,467.356500,890.301900,3.249127,0.000000,0.079553,14,36
85009578129,392.202400,441.765000,899.684900,9.453920,0.000000,0.094555,21,36
85009578130,378.348200,473.956900,899.170700,23.472007,0.000000,0.121905,33,36
85009578131,387.476200,482.994900,910.001500,2.328737,0.000000,0.068740,9,36
85009578132,401.400900,460.018200,904.775600,10.720609,0.000000,0.109350,28,36
85009578133,391.854600,476.931800,870.404800,12.200606,0.000000,0.105288,32,36
85009578134,400.008600,467.595200,895.831200,17.854754,0.000000,0.084338,17,36
85009578135,380.728100,447.016800,907.107000,5.983910,0.000000,0.106870,32,36
85009578136,401.631900,459.552500,874.701200,10.593462,0.000000,0.101907,29,36
85009578137,404.190200,457.998200,872.887900,5.370002,0.000000,0.102208,30,36
85009578138,402.810500,466.236300,897.311200,7.919896,0.000000,0.114802,33,36
85009578139,405.760900,455.504600,872.640500,7.251816,-0.000000,0.057780,3,36
85009578140,380.853000,489.069400,888.355300,3.191974,-0.000000,0.264287,35,36
85009578141,377.291800,490.010200,908.127500,6.339615,0.000000,0.092372,21,36
85009578142,378.141800,490.596200,881.868700,2.328737,0.000000,0.074537,11,36
85009578143,387.987100,486.093100,881.223300,4.365555,0.000000,0.090572,21,36
85009578144,409.618300,459.069100,875.244200,30.503509,0.000000,0.101856,29,36
85009578145,414.076600,458.828900,885.282300,19.048725,0.000000,0.108190,33,36
85009578146,405.278400,422.960700,907.257100,7.358666,0.000000,0.103942,34,36
85009578147,405.828800,422.603600,891.687200,10.833639,0.000000,0.097350,24,36
85009578148,394.002500,425.244400,874.374300,12.020886,0.000000,0.097161,21,36
85009578149,398.429700,473.760600,913.874100,7.657093,0.000000,0.058035,3,36
85009578150,395.639000,466.163300,868.352700,7.301399,-0.000000,0.078397,14,36
85009578151,413.952500,477.803600,865.731900,3.969596,-0.000000,0.088073,19,36
85009578152,380.314200,465.354000,863.160100,16.077155,0.000000,0.092533,27,36
85009578153,399.516600,437.033000,863.207900,15.883387,-0.000000,0.106952,30,36
85009578154,383.426500,461.459700,864.740500,3.254261,-0.000000,0.093393,21,36
85009578155,376.510100,438.212200,859.818400,2.328737,0.000000,0.103897,30,36
85009578156,388.954800,443.796000,859.700900,16.338127,-0.000000,0.114367,34,36
85009578161,378.827500,424.540200,857.231800,14.983225,0.000000,0.105546,31,36
85009578162,378.173200,465.383100,857.542700,3.713327,-0.000000,0.088363,17,36
85009578163,398.803900,446.639400,857.825100,7.427333,0.000000,0.101200,34,36
85009578164,384.648700,490.646200,857.812300,4.339279,0.000000,0.093663,20,36
85009578208,426.062000,433.583900,869.443200,10.734708,0.000000,0.113107,35,36
85009578229,428.753500,422.385000,897.818900,6.591999,0.000000,0.107116,33,36
85009578235,430.494400,468.622300,902.052700,7.649098,0.000000,0.093089,24,36
85009578255,426.961700,471.537500,909.236900,9.810880,0.000000,0.086018,20,36
85009578258,421.615200,477.551600,911.263100,4.879413,0.000000,0.094673,28,36
85009578273,421.482700,426.566200,888.797100,4.178426,-0.000000,0.091364,17,36
85009578274,418.013400,462.781200,918.546000,12.348675,0.000000,0.110337,32,36
85009578295,430.362700,491.962100,912.558200,4.596858,0.000000,0.075077,11,36
85009578298,409.482700,434.550300,918.742700,9.464928,0.000000,0.109585,33,36
85009578302,399.800400,421.954900,915.447300,6.494368,0.000000,0.106875,28,36
85009578684,384.400700,507.717900,901.923200,7.894904,0.000000,0.096576,24,36
85009580454,355.796100,504.846700,856.570300,5.245715,-0.000000,0.099881,24,36
85009580457,368.181800,504.669600,868.534700,14.824607,0.000000,0.105475,30,36
85009580460,344.316500,511.894500,872.992000,2.328737,0.000000,0.070114,9,36
85009580479,337.471200,510.381800,831.394400,5.701169,0.000000,0.100009,29,36
85009580481,342.590500,512.338300,824.961000,13.563098,0.000000,0.097759,26,36
85009580491,333.084200,517.790800,870.392600,13.389775,0.000000,0.097721,29,36
85009580499,334.930900,498.961300,877.013800,10.075846,0.000000,0.108580,29,36
85009580500,352.000000,502.567800,858.552700,3.982214,0.000000,0.276189,35,36
