# center_difference,dens_conc,mass_conc,vlct_conc
4.076536516215659156e-01,3.017333558026854767e+00,3.552037000000000333e+00,2.328736999999999835e+00
7.894857499537090428e-02,9.472205628359334995e+00,6.169819999999999638e+00,9.480930999999999997e+00
3.970587437312517731e-01,3.802383670620059775e+00,3.462087000000000359e+00,3.227186000000000110e+00
3.359368697995814279e-01,4.797551665304665924e+00,4.359961000000000197e+00,3.857698000000000516e+00
7.346993287185411559e-01,6.652623754612958962e+00,6.280901999999999319e+00,6.937013000000000318e+00
1.114578364206398192e-01,3.546937364072338728e+00,3.609319999999999862e+00,3.778994999999999660e+00
3.713386535047896730e-01,3.825430016524970611e+00,2.790340000000000042e+00,4.747126000000000623e+00
4.102317516929608610e-02,5.802787516102391407e+00,6.120810999999999780e+00,5.253864000000000090e+00
1.000586407872162464e+00,4.837164396343417216e+00,5.324780999999999764e+00,4.700685000000000002e+00
2.794071076953790200e-01,5.696915548710083321e+00,4.628658999999999857e+00,5.696812999999999683e+00
1.781471411912811664e-01,7.159522999702299551e+00,5.720511000000000124e+00,6.584830000000000183e+00
1.339813531785391809e-01,4.669553941023572463e+00,4.037266999999999939e+00,3.925425000000000164e+00
1.334288068125625837e-01,8.364224322536719214e+00,6.694192999999999394e+00,7.857877000000000223e+00
8.743896704747636250e-02,8.064221692996001778e+00,6.114705999999999975e+00,7.550977000000000494e+00
6.880541952284302543e-02,2.410351388197724098e+00,2.242855000000000043e+00,3.355278999999999900e+00
2.190192040333466261e-01,1.911990597013078164e+00,1.532507999999999981e+00,2.916752999999999929e+00
4.921379340049509277e-01,5.423128858786869344e+00,6.677207000000001003e+00,5.768723000000000489e+00
4.466514061411303027e-02,6.655384530438761992e+00,5.294271000000000171e+00,6.565966999999999665e+00
9.659994659414216089e-01,4.025013832832125438e+00,3.824948000000000459e+00,3.866844000000000392e+00
3.705378350215803723e-02,6.121932427461796777e+00,4.812838000000000171e+00,5.873947000000000251e+00
2.375113274784553807e-01,7.172337525244611101e+00,6.254514000000000351e+00,6.478652999999999551e+00
3.689852465447718277e-01,2.547613870807207803e+00,3.053261999999999698e+00,2.427580999999999989e+00
2.131884047090432388e-01,3.617378903888886388e+00,3.333779000000000270e+00,3.635574999999999779e+00
5.220710883122021279e-02,8.373306521940699909e+00,6.141637000000000235e+00,7.793997999999999315e+00
1.881538903040165522e-01,6.680557024384346398e+00,5.233524000000000065e+00,5.900081000000000131e+00
4.070425027920120398e-01,2.892823983303134838e+00,2.851945000000000174e+00,2.426772000000000151e+00
4.805814211031217420e-02,6.736097017571639256e+00,5.249301999999999246e+00,5.939337000000000089e+00
1.886721837576324501e-01,3.791556044161120909e+00,3.490021000000000040e+00,4.896441999999999517e+00
4.865244252308763284e-02,7.894768041542675086e+00,6.514202000000000048e+00,7.163417999999999175e+00
1.838845824432807918e-01,3.342591545068680059e+00,3.212194999999999911e+00,3.198688000000000198e+00
6.602485015556483483e-02,7.470530353996323925e+00,6.225335000000000285e+00,6.978047999999999362e+00
2.976342710867712626e-01,3.862372520049333069e+00,4.399087000000000636e+00,2.974777000000000005e+00
1.699611538180319792e-01,3.206064561353428211e+00,3.567765000000000075e+00,3.889776000000000344e+00
1.511298553171718795e-01,5.276849982221826885e+00,4.498212999999999795e+00,4.971300000000000274e+00
3.945581880508423067e-01,3.937179204319394277e+00,5.689855999999999803e+00,4.229733999999999661e+00
2.217981505821021992e-01,6.715212654732355624e+00,4.972070999999999685e+00,6.206675999999999860e+00
3.632274652277960314e-01,6.601532485272773698e+00,4.829115999999999964e+00,6.176879000000000453e+00
1.619160771030012380e-01,6.423632512333833589e+00,4.928208999999999840e+00,6.582646000000000441e+00
2.362107107263607120e-01,4.916256017888271934e+00,3.817271999999999998e+00,5.302076000000000455e+00
5.025602600976382117e-01,3.189254782504258312e+00,2.595149999999999846e+00,2.344924000000000230e+00
1.495075635402340064e-01,7.021137848362354994e+00,6.225901000000000352e+00,6.625232000000000454e+00
3.165319192150092276e-01,6.050561299367629431e+00,5.322697999999999929e+00,5.678997999999999990e+00
5.757970285586951759e-02,7.111909623797356694e+00,5.125178000000000011e+00,6.404827000000000048e+00
2.622281234021482388e-01,5.575951816688160534e+00,4.645483000000000473e+00,5.580718000000000067e+00
1.757635903832804880e-01,5.967811876256729597e+00,5.263166000000000011e+00,6.687075000000000102e+00
2.869894342339899818e-01,4.754044932598405993e+00,4.566069999999999851e+00,4.446867000000000125e+00
3.311076463599045838e-01,6.127833210847060563e+00,5.062712999999999575e+00,5.817816000000000543e+00
1.590937235225953206e-02,5.626184853165900890e+00,4.982266000000000084e+00,5.270753000000000021e+00
1.716767756537335432e-01,1.538167084639371129e+00,1.858674000000000159e+00,2.505683000000000327e+00
5.239019166765325197e-01,5.502324890174920213e+00,4.554694000000000464e+00,4.594274999999999665e+00
3.565004028359841648e-01,1.788137420633281849e+00,2.366608000000000267e+00,2.515713000000000310e+00
9.849276482796015530e-02,4.426278103923013241e+00,4.044191000000000535e+00,4.361087999999999631e+00
1.232510489168933687e-01,3.320181188762347801e+00,2.935268999999999906e+00,2.945034999999999847e+00
1.437687799699528812e-01,3.256872358620091834e+00,3.496885999999999939e+00,3.340789000000000009e+00
1.115174324047099874e-01,6.315544666819335795e+00,4.427507000000000303e+00,7.756350999999999551e+00
2.798289841595198377e-02,9.096046274895664752e+00,7.713961999999999541e+00,7.815933999999999493e+00
9.520131318977450574e-01,8.031189797567595434e+00,6.380478000000000094e+00,7.720100999999999658e+00
1.132685562911152910e-01,5.180028961068276594e+00,4.246583000000000219e+00,5.761805000000000732e+00
6.295729802765506755e-02,7.006595052496430220e+00,6.295860000000000234e+00,6.036518000000000050e+00
7.085533089979072219e-02,4.754481954109376574e+00,4.429674999999999585e+00,4.398437999999999626e+00
2.308501092820266776e-01,3.563648433428347584e+00,4.162079000000000306e+00,2.557250999999999941e+00
2.358099078656618053e-01,2.182211696075206042e+00,2.642773000000000039e+00,3.857512999999999526e+00
2.736113190065841971e-01,4.307924056361074783e+00,4.147744000000000320e+00,3.786201000000000150e+00
4.126946094977478052e-02,5.445943281041714989e+00,5.182786000000000115e+00,4.831229000000000440e+00
3.513100336994314787e-01,2.690286508653085829e+00,3.236851999999999840e+00,3.803697000000000106e+00
1.777282666860019456e-01,4.169685146408110832e+00,3.669286000000000048e+00,3.795834999999999848e+00
2.616246851927556821e-02,6.833027558283822245e+00,5.194523000000000224e+00,6.263479000000000241e+00
2.460591280553106053e-01,2.583109595810723302e+00,2.298678999999999917e+00,3.616158999999999679e+00
1.492049664545324617e-01,4.635587861194270687e+00,4.310520999999999603e+00,4.210504000000000246e+00
1.034416847394426242e-01,5.840728694859742554e+00,4.950273999999999397e+00,5.620269999999999655e+00
6.320017417438068552e-01,5.270378506577792166e+00,5.158726000000000589e+00,5.915775000000000006e+00
7.172895610130630706e-02,7.051660330630708629e+00,5.448917999999999928e+00,7.108516999999999975e+00
3.014729952310845063e-01,4.362773690988569264e+00,4.487060999999999744e+00,3.646087000000000078e+00
9.787779206231472795e-02,6.757727405239103646e+00,5.398924000000000056e+00,6.589788999999999675e+00
4.261999100794482409e-01,3.072811535102196956e+00,2.879541999999999824e+00,3.225584000000000007e+00
1.514048958025139058e+00,8.617829021740352147e+00,8.814353000000000549e+00,8.958335999999999189e+00
8.423767286770052209e-02,6.374608989332823938e+00,4.866492000000000040e+00,6.346065000000000289e+00
1.176278228444911145e+00,4.434529434996781205e+00,4.616825000000000401e+00,4.376816000000000706e+00
6.234586518221497953e-02,6.246400950539904962e+00,4.717902999999999736e+00,5.973038999999999987e+00
5.084999969380916279e-02,4.816093777470944914e+00,4.592108999999999774e+00,3.776609999999999800e+00
3.174417059082013104e-02,6.669093725039449971e+00,5.946876000000000495e+00,5.941012000000000626e+00
8.744349188745138834e-02,7.364236631563222168e+00,5.280427999999999678e+00,6.687688000000000521e+00
5.116910151968053766e-01,7.835533013778551492e+00,5.593378999999999657e+00,7.499175999999999398e+00
8.553462176409748485e-02,7.433512535106660657e+00,5.687445999999999557e+00,7.092127000000000514e+00
3.893015108982424421e-01,6.028680899801564408e+00,5.093644999999999534e+00,5.818626999999999327e+00
1.238373044016717606e-01,5.545111919870453043e+00,5.562933000000000128e+00,4.970024999999999693e+00
4.666956698645790408e-02,5.477928199397233300e+00,3.487533999999999690e+00,5.115827999999999598e+00
1.358007898581869155e-01,4.341357067450104523e+00,3.695610999999999979e+00,3.618546999999999958e+00
1.717789862475901930e-01,6.752658920923011010e+00,5.154047000000000267e+00,5.389419000000000182e+00
3.461936928216315795e-02,5.204916431101135110e+00,4.314784999999999648e+00,4.474870000000000125e+00
1.599144190908069751e-01,9.430733955935512114e+00,5.611102999999999952e+00,8.411953999999999709e+00
3.732066952735470233e-02,6.670344655455855865e+00,6.041408000000000555e+00,6.589044999999999597e+00
4.461980072736504432e-02,8.787198335778724001e+00,5.674191000000000429e+00,8.403757999999999839e+00
5.647475092033681365e-01,3.981884901182351832e+00,4.124012000000000455e+00,3.610773000000000454e+00
4.621579787279492257e-02,1.028826669178794617e+01,6.879038000000000430e+00,9.425677000000000305e+00
8.417220921120775745e-02,6.730021623519045981e+00,4.796216000000000257e+00,7.289502000000000592e+00
1.128821746471762727e-01,7.872675702445898871e+00,7.189982000000000539e+00,7.402688999999999631e+00
1.859287972074813167e-01,5.667322983579670570e+00,6.049400000000000333e+00,5.543216999999999395e+00
5.716509939484792219e-02,7.551005192896504958e+00,5.287169000000000452e+00,6.976722000000000534e+00
1.621481185493026944e-01,6.602276486339623496e+00,4.542487999999999637e+00,6.500062000000000673e+00
9.948966540832054894e-01,4.389194477309048992e+00,4.957800999999999902e+00,4.357765000000000555e+00
6.025190247126942511e-01,6.437778232167378434e+00,6.464369000000000476e+00,6.720499000000000223e+00
1.355725496557788068e-01,7.843462846719573278e+00,5.126173999999999786e+00,7.071896000000000626e+00
2.846718547751111994e-01,2.341911937823472734e+00,3.147222999999999882e+00,2.797706000000000248e+00
1.269823889222837787e-01,4.140200483423445377e+00,4.024233000000000615e+00,4.492323000000000732e+00
2.764964715587091282e-02,6.422716957540435700e+00,5.549458999999999698e+00,5.903591000000000477e+00
1.642883258338077856e-01,3.807500809008889764e+00,3.366322000000000259e+00,4.795620999999999690e+00
1.987837023451537455e-01,2.710572600863487391e+00,2.522934999999999928e+00,3.046027999999999736e+00
1.253666198074216975e-01,4.929520301382186886e+00,4.191880999999999524e+00,4.360078999999999816e+00
9.337986048617631651e-02,8.806926164991503825e+00,7.585947999999999247e+00,8.662767000000000550e+00
3.204530589201805280e-02,6.339606598034524865e+00,5.020901000000000280e+00,5.980591999999999686e+00
6.380956617433229672e-02,5.799177292173813392e+00,5.443011000000000266e+00,5.736644000000000077e+00
1.771183125330952346e-01,7.967311819208120482e+00,6.279716999999999771e+00,7.488161999999999097e+00
1.688918997362041374e-01,6.364289970331778790e+00,5.204265000000000363e+00,5.828530999999999906e+00
4.732693728484213547e-01,6.606650732895028355e+00,5.145067000000000057e+00,5.862713999999999537e+00
3.523388938465341069e-02,6.957515719311871294e+00,5.634876000000000218e+00,6.543698000000000015e+00
4.330871297099547074e-02,6.335050944392276229e+00,5.926247000000000043e+00,6.372142000000000195e+00
3.516593244920388495e-01,4.456405078422021049e+00,4.329538999999999582e+00,4.371745999999999910e+00
1.990042982335727406e-01,5.939922640521906771e+00,7.085011999999999865e+00,6.099243000000000414e+00
6.863302713598798399e-02,6.497221676826981707e+00,5.649144999999999861e+00,5.967611999999999917e+00
1.182145597604066789e-01,4.837385685022407067e+00,4.410175999999999874e+00,4.657369999999999344e+00
1.651902314245226877e-01,4.525885157174051265e+00,4.319135000000000169e+00,5.732444000000000095e+00
1.606880026966123753e-01,2.583860665469807305e+00,2.243390000000000217e+00,3.943594999999999740e+00
2.403414531155081135e-01,2.413327012488612588e+00,2.465511999999999926e+00,2.328736999999999835e+00
2.463379150045955368e-01,3.503916115269697151e+00,2.802709000000000117e+00,3.702302999999999678e+00
8.424264469803860456e-01,5.805094940298891615e+00,4.958886999999999823e+00,4.931751999999999470e+00
1.657662652325033459e-01,7.556229286912293119e+00,6.813613000000000142e+00,7.487016000000000560e+00
2.322213835607855326e-01,3.572270209296260379e+00,3.963476999999999695e+00,2.924509999999999721e+00
1.339504579634755332e+00,9.396535538431432855e+00,7.113074000000000119e+00,7.681754999999999889e+00
1.244161048253013963e-01,6.001253361047857560e+00,4.535047000000000494e+00,5.821658999999999473e+00
4.669167981174603133e-02,7.634379282737976169e+00,6.411108000000000473e+00,7.305786000000000335e+00
1.594148574095711687e-02,7.640031843459926364e+00,5.861755999999999744e+00,7.661258999999999375e+00
6.488036401763483396e-02,5.429996632680136770e+00,4.662643000000000093e+00,4.263245999999999647e+00
1.592700658555360749e-01,3.442339813976243779e+00,2.342258999999999869e+00,4.187863000000000113e+00
4.254899441327230636e-01,5.873181673923023816e+00,5.278641999999999612e+00,6.015176999999999552e+00
8.179008640768237193e-02,4.169697601787713204e+00,4.523291000000000395e+00,3.415855000000000086e+00
8.728982313702410289e-02,8.282869835517223223e+00,7.048950999999999745e+00,7.989899999999999558e+00
2.455992981333630226e-02,8.685777311444708104e+00,6.667613000000000234e+00,8.121947999999999723e+00
5.550180004416601504e-02,1.040593851949618909e+01,7.049857000000000262e+00,9.443613000000000923e+00
3.627072201128420798e-02,7.250204245537753778e+00,6.523832999999999771e+00,7.427869999999999528e+00
9.008174227335301321e-02,6.129217943472547780e+00,4.313094999999999679e+00,5.811048000000000435e+00
4.043436728469379515e-02,8.484260834999526324e+00,6.210601999999999734e+00,7.552836999999999357e+00
6.127173011548534692e-02,7.468319013790030603e+00,5.049712999999999674e+00,7.468128999999999351e+00
9.779917360468369514e-02,7.550486840012450074e+00,5.470575000000000188e+00,6.853345000000000020e+00
6.644685325115075314e-02,6.422761153177420468e+00,5.119158999999999793e+00,6.167633000000000365e+00
8.720556891344841688e-01,6.164423139195912782e+00,5.291466000000000669e+00,5.440160999999999802e+00
8.734731478074390099e-01,4.374520527877810316e+00,5.432173999999999836e+00,4.271695999999999493e+00
4.906969714148686212e-01,3.323169730457557147e+00,3.185862999999999889e+00,2.980088999999999988e+00
3.541137723263207970e-01,3.166365166871864645e+00,3.193543999999999716e+00,3.920255000000000489e+00
5.611254188719086988e-01,5.882697091905911613e+00,5.396931999999999618e+00,6.226792999999999800e+00
4.606625826574659577e-01,4.519066691056334406e+00,3.527665000000000273e+00,4.534866000000000064e+00
5.077754672410587089e-01,6.222796040628499448e+00,4.977891999999999761e+00,5.805532000000000359e+00
2.588250221596160583e-01,6.627344652534064906e+00,4.393558999999999770e+00,6.390481999999999552e+00
4.977834102049669140e-01,4.658231908668068577e+00,5.150133000000000294e+00,4.429011000000000031e+00
9.897232028196005504e-02,6.464053212567224094e+00,6.245994999999999742e+00,6.178005000000000635e+00
1.241973521624519100e-01,7.707504014410315740e+00,6.373744000000000298e+00,7.015272000000000396e+00
6.035713703623831611e-02,5.232700064846111054e+00,5.019734999999999836e+00,4.942383000000000415e+00
8.484883993385092249e-02,5.755762904541839475e+00,4.246545999999999488e+00,5.269319999999999560e+00
7.585680724210909220e-01,2.257370242116797154e+00,2.455506000000000189e+00,2.718920000000000226e+00
8.899652704589512686e-02,8.219102106677889097e+00,5.875372000000000483e+00,7.506852000000000302e+00
1.279326146065533631e-01,8.833230793561403615e+00,6.703700999999999688e+00,7.655466000000000548e+00
2.423834636238285031e-02,8.786948630424397777e+00,7.678669000000000189e+00,7.765849000000000224e+00
1.415020582611213884e-01,5.319735158104625050e+00,5.332104000000000177e+00,5.491766000000000147e+00
4.423149447968879183e-02,7.248104451815359894e+00,5.285349000000000075e+00,6.812908000000000186e+00
8.408017028669449722e-02,7.548719133222402178e+00,7.057963000000000875e+00,7.309250999999999721e+00
7.492136706643012789e-02,1.181649986987484446e+01,7.123557000000000805e+00,1.013737599999999972e+01
4.152060637092154227e-01,3.403389868200472179e+00,5.040820000000000078e+00,2.426632000000000122e+00
1.210733460636648634e-01,7.531509583642551853e+00,5.051864000000000132e+00,6.548562000000000438e+00
2.366296514719384847e-01,6.772310188786563323e+00,4.677393000000000356e+00,6.430823999999999430e+00
1.267204325008750021e-01,4.712646963620927387e+00,4.107364999999999711e+00,4.626935999999999716e+00
3.111733427752732539e-01,4.058825841160529357e+00,4.213734999999999786e+00,3.611520999999999759e+00
9.222799032125984509e-01,2.999359769716535062e+00,2.527830999999999939e+00,4.836632999999999960e+00
2.330337868490631736e-01,2.571352693526369748e+00,3.547066999999999748e+00,2.813102999999999909e+00
2.223845417922555578e-01,5.445389203270737610e+00,4.057807000000000386e+00,5.452503000000000100e+00
2.027739910722660410e-01,4.111358878519818738e+00,4.314646999999999899e+00,3.600471999999999895e+00
7.258509767932773693e-01,5.325630666789487933e+00,6.884289999999999132e+00,6.851211000000000162e+00
9.476219498805892039e-02,5.249188743980790051e+00,5.511891999999999570e+00,5.010947999999999958e+00
6.443609243640051332e-02,1.539449592649226339e+01,8.572165000000000035e+00,1.280795700000000004e+01
4.153892628026838174e-02,7.616157098104535450e+00,4.700108000000000175e+00,6.912641999999999953e+00
1.728562934793662076e-01,6.487493882273408730e+00,4.901569000000000287e+00,6.873678999999999206e+00
3.904793882028573943e-02,8.309381054603790062e+00,7.472064999999999735e+00,8.183174000000001058e+00
6.393711631627065906e-01,4.430323602271175609e+00,4.291827999999999754e+00,4.553694000000000131e+00
1.379294309009057307e-01,4.360550657897283244e+00,4.820521000000000278e+00,4.182107000000000241e+00
1.138028493278198383e-01,9.073504751614303032e+00,5.452938999999999758e+00,7.386250000000000426e+00
1.290854761718263077e-01,5.045891263394597814e+00,3.819141000000000563e+00,4.374794000000000516e+00
3.888827162760316591e-02,6.351336879039621408e+00,4.005131999999999692e+00,5.936022000000000354e+00
1.599633488730998199e-01,8.974224068746556426e+00,8.421457999999999444e+00,9.071718999999999866e+00
1.249843638212894542e-01,5.450017355058813351e+00,3.726762999999999604e+00,5.463652999999999871e+00
8.178621010889991494e-02,8.754815166373585811e+00,5.978663000000000061e+00,8.166541000000000494e+00
1.181123229376024736e-01,6.668835622526130713e+00,5.345105999999999469e+00,6.388799999999999812e+00
1.421372417809466104e-01,3.164665309589101305e+00,3.559943000000000080e+00,2.535622999999999738e+00
8.202144998709826051e-02,5.594142871978220022e+00,6.142473000000000738e+00,5.388352999999999504e+00
