halo_id,x_potential,y_potential,z_potential,x_mass,y_mass,z_mass,eig_1,eig_2,eig_3
85000084489,377.1652,422.4048,854.9273,377.250266192,422.370262064,854.797709632,333.251383569,639.971133943,555.174714048
85000086426,340.2868,465.0804,888.3798,340.530376377,465.24659087,888.384210773,264.728962045,1002.64873929,1040.29277271
85000087228,376.8054,498.5235,894.8086,376.806258248,498.565964964,894.845987567,446.334847501,320.435706618,294.48094182
85000088675,375.3359,428.494,891.4252,375.256613518,428.50596961,891.262468278,214.156402671,604.910530044,558.595333005
85000088961,404.3596,485.3308,842.4903,404.355010985,485.327009104,842.510409946,362.215951309,298.301525633,268.323074257
85000090465,408.3589,477.366,870.388,408.736129453,477.440211239,870.279513121,224.758675225,1883.25372354,1936.61389262
85000090628,406.2895,455.4827,872.1722,406.334239538,455.362832102,872.145806506,311.968323142,835.133381838,699.46230552
85000091719,340.7074,501.1692,827.4722,340.659098402,501.135085591,827.406955353,201.801276321,500.839236589,540.50758175
85000092430,385.2481,460.5093,879.7822,385.281182767,460.495119632,879.834885857,338.564554382,446.427708604,422.477665814
85000092704,388.436,507.6246,834.8912,388.38679698,507.586087817,834.901012874,234.550054516,513.669115372,477.816707112
85000092984,387.2677,487.5436,883.2519,387.239680272,487.5432196,883.285649897,242.691323841,289.394718726,347.710205353
85000093480,373.1584,490.4097,833.4681,373.18230755,490.434226205,833.470689152,182.46185096,370.149569035,406.951170745
85000094253,387.4052,492.2458,917.819,387.473520343,492.222007654,917.899223249,180.734752651,474.052829007,420.124742162
85000095054,385.5165,464.3064,835.6131,385.702409587,464.298756923,835.490331034,233.407321585,1271.85086133,1232.6663058
85000096976,366.746,457.2565,842.5248,366.752698566,457.271760579,842.539604858,173.61692441,301.37389415,312.810730681
85000098216,365.1878,506.3113,824.0544,365.257890426,506.411086887,824.371677233,437.053715195,917.059011422,1237.52323072
85000098511,366.7595,459.2116,874.4777,366.754171982,459.220351573,874.463003442,247.374848992,405.95273145,366.332561738
85000099352,359.6277,476.1167,842.774,359.516429697,476.094335273,842.794526692,166.138136039,432.075617477,483.654382764
85000100294,373.1789,428.542,888.529,373.005985134,428.567126214,888.541135161,223.432295127,422.29135487,393.104086063
85000101087,372.342,459.5117,875.3138,372.368462273,459.416023202,875.300845799,435.401246925,311.228099306,331.181343949
85000102787,429.681,475.0643,842.3907,429.7016484,475.065428389,842.405821653,148.201367522,284.651212526,301.555335732
85000102996,384.0778,443.1309,883.1692,384.110598522,443.203357262,883.192613214,243.168838658,587.808904738,638.165610744
85000104016,386.6293,509.4028,901.1296,386.480011249,509.380866339,901.18471288,404.4893608,624.792561417,706.358523804
85000104551,383.0573,497.8843,831.6444,383.065490116,497.88281638,831.666096555,335.663118223,208.170101735,247.015604682
85000106548,335.6642,511.4922,897.3029,335.626662643,511.440346015,897.237490023,145.656348647,344.511667586,289.094934327
85000106822,382.7163,470.9023,897.792,382.693884631,470.897817581,897.794603735,228.871233986,320.144917956,338.110069418
85000107254,339.6427,421.3894,827.5787,339.625846353,421.441587432,827.642320381,230.319351298,423.1301118,396.915489022
85000108006,429.5195,423.4093,907.3192,429.527797449,423.39031267,907.295830241,153.418225391,329.089228019,336.20213617
