#Id,x,y,z,rho0,rho0_max,rho0_min,rs,rs_max,rs_min,r_max,r_vir,c
85003059453,464.692100,514.489600,463.208600,1637376.916380,2165146.488372,1121592.276504,0.017853,0.019250,0.016467,0.291551,0.265124,14.850486
85001473406,511.640100,542.405700,476.694800,76708.035630,86706.339239,66484.382040,0.092341,0.098445,0.086148,0.341490,0.000000,-99.000000
85001431052,506.163200,543.924200,535.950700,302035.883464,337937.721383,267030.611790,0.049279,0.051782,0.046802,0.405550,0.341428,6.928496
85006574587,465.242500,488.939500,450.000900,197165.181672,311000.149076,85540.716219,0.037323,0.044356,0.030313,0.200263,0.000000,-99.000000
85001524060,480.048700,507.349300,486.249100,1020813.492721,1171588.050037,873372.804712,0.029816,0.031684,0.027906,0.394071,0.329992,11.067604
85007140973,466.319200,459.691700,512.820600,344631.813038,570911.948720,115685.365240,0.026198,0.030299,0.022025,0.171467,0.000000,-99.000000
85008055355,484.537000,525.656400,458.249000,1006064.168266,13544252.343386,22445.696895,0.014289,0.019816,0.008638,0.156819,0.000000,-99.000000
85008679241,529.264800,459.610400,493.872200,2861047.114652,9216933.548007,84311.870911,0.007997,0.009901,0.006041,0.396663,0.137520,17.196433
85005928535,480.903000,512.273200,492.100900,82062.438229,141901.785924,22606.120811,0.050362,0.057892,0.042616,0.250008,0.197297,3.917599
85005084836,545.441500,541.999300,512.092000,372286.535223,1564432.364797,64410.157840,0.028494,0.032301,0.024639,0.323911,0.209153,7.340209
85003815590,465.668300,450.224600,516.077100,425751.541674,588900.866699,266648.499940,0.032800,0.036433,0.029171,0.222569,0.000000,-99.000000
85005199808,468.114400,540.234400,496.408200,169529.426142,254426.552012,83554.193005,0.041584,0.051879,0.031349,0.246465,0.204461,4.916842
85006203889,524.350200,507.830500,514.067000,869081.365763,1378718.231083,367083.824972,0.018563,0.021147,0.015928,0.210878,0.195277,10.519407
85003686443,530.173100,542.141100,520.827900,211280.063885,292735.562235,130830.663237,0.037992,0.042271,0.033735,0.344841,0.238319,6.272867
85002560991,545.988800,508.498000,506.250200,354980.178695,447294.535486,261471.966651,0.038625,0.041571,0.035696,0.338593,0.284880,7.375560
85002558757,495.855500,498.494900,535.964400,480475.270012,589239.945871,374645.470368,0.031800,0.034264,0.029266,0.346745,0.278337,8.752594
85003220401,467.774100,474.827900,463.847100,1722309.655776,2153457.859995,1279708.632546,0.018092,0.019399,0.016806,0.277516,0.257631,14.240364
85004030145,505.407500,519.073100,507.920600,146453.013246,205032.365365,86740.315660,0.046353,0.050997,0.041765,0.239750,0.000000,-99.000000
85008350799,480.181300,454.691000,532.653200,1336533.014592,2841880.888977,120404.372634,0.014746,0.017483,0.012079,0.222892,0.170540,11.565348
85006897719,484.283400,493.694700,452.622300,1115241.453589,2037081.315854,172713.734135,0.016275,0.019271,0.013334,0.231958,0.188338,11.571915
85008507099,474.503000,537.861100,460.715100,136758.429719,255985.590337,17157.518582,0.040330,0.048771,0.031983,0.161377,0.000000,-99.000000
85004025233,490.062200,532.982500,450.178600,78445.974127,115250.386340,42624.734980,0.055108,0.063428,0.046729,0.389205,0.234443,4.254237
85008521972,453.927800,452.039900,486.609800,42450.239597,98189.444500,5695.339028,0.062698,0.072772,0.052673,0.192012,0.167001,2.663604
85000903312,522.390100,456.699000,450.358500,795333.891627,868107.349278,721235.464177,0.038598,0.040228,0.036978,0.403307,0.000000,-99.000000
85004737129,476.099600,536.959800,509.236500,74746.674094,164792.066741,13854.480602,0.061761,0.070547,0.052835,0.246054,0.216616,3.507324
85002719307,491.314100,480.966900,510.618500,255461.150605,310671.161213,200865.583158,0.046207,0.050155,0.042178,0.209990,0.209976,4.544281
