#Id,x_center,y_center,z_center,c_bdmv,c_bdmv_max,c_bdmv_min,c_bdmw,c_bdmw_max,c_bdmw_min,r_vir_bdmv,r_vir_bdmw,n_vir_bdmv,n_vir_bdmw,n_tot
85000174567,469.411400,499.407200,465.971800,5.299228,6.022758,4.682831,4.036629,4.948869,3.353775,0.542065,0.388544,2063,1562,2283
85002487347,507.277100,463.332200,494.092500,6.825881,7.709997,5.928567,4.821547,5.857825,3.805765,0.222398,0.163606,140,115,165
85008521438,526.625400,466.917400,458.257400,10.999568,12.850454,9.097498,5.515276,7.158415,3.844511,0.141716,0.103517,35,29,42
85001789950,547.621500,509.964000,481.229100,7.764759,8.595171,6.934325,5.670491,6.452257,4.875482,0.252099,0.183538,206,167,234
85001416651,464.731800,510.220100,462.600700,7.400952,8.030667,6.774934,4.993444,5.890791,4.096207,0.268853,0.204832,252,223,299
85000766434,529.086200,537.016900,510.608700,6.591623,7.249691,5.924652,4.678647,5.547048,3.816758,0.341821,0.251031,507,420,562
85001473406,511.640100,542.405700,476.694800,3.073008,4.164237,2.114227,2.143724,3.394293,1.352825,0.275974,0.199351,271,208,287
85007037199,457.674100,512.608700,549.289400,6.294045,7.761862,4.834120,3.763057,4.801137,2.710271,0.150770,0.113588,44,38,53
85008199695,476.830300,508.902100,488.596200,5.708502,6.792988,4.627536,4.253504,5.492014,3.047745,0.140502,0.109276,40,34,44
85004102364,523.489000,536.040300,481.241600,8.822370,10.321815,7.298926,7.068403,8.171843,5.989259,0.187467,0.142585,91,76,96
85001394173,493.865000,507.790300,499.062700,7.880590,8.636510,7.130484,5.916761,6.916823,4.888069,0.260737,0.191844,228,186,304
85008350631,485.679000,546.988200,527.026400,4.449204,10.757987,4.449204,1.369870,2.724146,1.000990,0.081750,0.310233,5,41,43
85001811990,506.828900,508.156100,481.955000,5.185738,6.167218,4.227980,3.350555,4.426864,2.301629,0.255189,0.187041,214,177,231
85003991711,458.810200,474.804800,456.092300,10.188060,11.499268,8.898842,10.430062,11.519170,9.310655,0.197356,0.152734,96,94,99
85001567286,473.099200,515.540600,490.147500,5.706314,6.484677,4.905069,3.589308,4.588702,2.755810,0.273000,0.207471,260,235,269
85006014842,483.487300,526.756800,453.610800,4.665629,5.700357,3.606254,3.800568,4.898062,2.674140,0.156589,0.128054,53,46,63
85003849303,543.884700,451.407700,501.084000,2.156912,3.387378,1.015337,1.325038,2.679287,1.000077,0.189301,0.138657,91,69,103
85001142584,537.793300,536.764200,504.920100,8.197098,8.778270,7.604652,5.408374,6.198833,4.627127,0.302407,0.235938,363,341,374
85007516006,515.178600,463.182900,454.565100,7.532434,9.169594,5.878037,5.446630,6.639507,4.249240,0.147772,0.113473,42,36,49
