#Id,x,y,z,rho0,rho0_max,rho0_min,rs,rs_max,rs_min,r_max,r_vir,c
85003507082,453.177800,469.202100,455.206700,1359430.153233,2159794.447123,561558.696301,0.017742,0.020434,0.015110,0.301409,0.243984,13.751414
85005330681,493.057100,492.023200,528.185900,526743.951694,1379964.173666,23891.512218,0.023095,0.035350,0.010930,0.208537,0.000000,-99.000000
85005016327,472.779500,546.692600,499.338000,312917.270901,1014769.377589,39286.767965,0.027030,0.034423,0.019492,0.369500,0.204824,7.577646
85008199685,491.789500,498.562200,482.113300,83347.454609,423565.106118,4824.415885,0.040744,0.063756,0.017759,0.241792,0.170874,4.193848
85005138293,469.307200,536.486300,467.680900,682449.134884,1945919.733382,103021.387450,0.021803,0.026919,0.016559,0.198822,0.000000,-99.000000
85005940897,545.304100,523.738500,536.090900,67239.664405,180954.413867,6401.200783,0.055607,0.077224,0.033605,0.210749,0.208263,3.745249
85003590329,538.104600,455.488700,546.048700,365770.056580,566253.265143,160873.115780,0.032482,0.038794,0.026295,0.299925,0.248481,7.649732
85004634792,499.468600,480.368700,530.103300,3287672.889397,5997179.465817,642668.446124,0.011614,0.013768,0.009435,0.321067,0.213049,18.343843
85005340468,546.293600,548.463700,537.629700,433489.117399,1075270.547054,85967.758756,0.028889,0.036460,0.021296,0.187469,0.187038,6.474407
85004964195,532.778800,463.173200,466.290700,1015518.828970,1921478.987916,182630.986420,0.018479,0.022376,0.014549,0.210624,0.000000,-99.000000
85000981869,486.121900,467.562600,490.693200,301310.632748,357043.170667,244864.143445,0.059977,0.065705,0.054290,0.401556,0.391943,6.534922
85002190095,501.613900,504.844000,504.987700,2454293.917023,3528980.993293,1394498.174150,0.017807,0.020025,0.015569,0.334429,0.294179,16.520247
85001630800,463.624700,538.911200,494.098600,643688.841803,821147.000619,468725.971473,0.036566,0.041037,0.032039,0.321267,0.000000,-99.000000
85004692846,546.957000,542.918500,548.691700,518156.918154,882023.998281,152424.571561,0.025749,0.030957,0.020544,0.222076,0.221825,8.614996
85000831012,473.826100,489.717600,458.431500,322616.637825,389215.981430,254956.479864,0.059328,0.064366,0.054334,0.440225,0.415285,6.999771
85001217902,483.184400,521.997900,457.322600,400733.679978,512356.082332,289492.253016,0.047988,0.052980,0.043122,0.405331,0.354442,7.386050
85008053065,549.136800,484.104300,517.440600,1509367.087723,4676832.211435,45282.973600,0.013212,0.022357,0.004195,0.205119,0.000000,-99.000000
85005476036,468.420700,458.350900,471.460500,957465.482927,2094318.293623,148099.528273,0.017883,0.022154,0.013506,0.251473,0.221181,12.367984
85008221638,503.270400,536.377100,547.744300,579914.706123,1043208.619443,116023.241124,0.016993,0.022617,0.011467,0.330146,0.167476,9.855824
85006489759,544.275000,510.384800,507.765500,1111632.785690,2146327.908905,157292.000834,0.016193,0.020389,0.011972,0.219764,0.187016,11.549305
85007909488,497.196000,517.084500,512.677700,562650.052546,905979.034545,222388.448993,0.019838,0.026848,0.012875,0.171707,0.000000,-99.000000
85007010556,500.742100,534.790500,505.780000,410269.143646,1476175.074619,32997.678640,0.023813,0.033182,0.014621,0.209662,0.193846,8.140186
85002916379,525.565500,489.461000,502.327700,168783.424378,284651.820698,51513.069247,0.048019,0.057472,0.038813,0.339662,0.259412,5.402319
85008504326,460.377700,520.088700,506.150300,84626.799046,189467.553035,8249.157618,0.042120,0.057275,0.026571,0.253824,0.174959,4.153830
85002845033,482.097900,546.537100,546.473300,4163437.166606,5756215.689957,2579547.421861,0.013175,0.015083,0.011268,0.305315,0.263845,20.026581
